22,,,,,,,,,,,,
New Lead Y/N,URL from Google Analytics,Snowball Map,Restaurant Name,Address,City,State,,Menu Type,Business Phone,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47260,47260,Xi'an Noodles,5259 University Way NE,Seattle,WA,United States,Chinese,(206) 522-8888,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47953,47953,Prince Noodle,4520 Princess Anne Rd,Virginia Beach,VA,United States,Chinese,(757) 330-2300,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=49431,49431,Capital Musubi,14385 Newbrook Dr,Chantilly,VA,United States,Hawaiian; Japanese,(571) 752-6480,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=49596,49596,Chengdu Gourmet,5840 Forward Ave,Pittsburgh,PA,United States,Chinese,(412) 521-2088,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=49608,49608,Hamono Sushi,620 SW 9th Ave,Portland,OR,United States,Japanese,(503) 782-6072,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=50174,50174,Peking,7150 Hamilton Blvd,Trexlertown,PA,United States,Japanese; Chinese; Thai,(610) 366-9533,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=50359,50359,Pho Saigon and Bar,1106 Pontiac Ave,Cranston,RI,United States,Vietnamese; Chinese,(401) 780-0536,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=50444,50444,Goatocado,1823 W Main St,Richmond,VA,United States,Japanese,(804) 464-8226,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=50598,50598,Happy Buddha Cafe,2173 S Green Rd,University Heights,OH,United States,Chinese; Thai,(216) 291-2446,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=05123,05123,Raising Claw,13265 Harbor Blvd,Garden Grove,CA,United States,Cajun,(714) 867-6521,,,
