unique_code,density,density_band,expected_gmv_c,median_household_income,median_income_band,menu_type_c,cuisines_regional,cuisines_continental,population,population_band,region,school_zone,state_code,tenure_in_complete_months,zip_code
R87707,712,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,16674,"5,001 - 20,000",Northeast,A+,NJ,1,08837
R86583,735,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,39736,"20,201 - 50,000",Northeast,B-,MA,1,01752
R87761,735,"501 - 5,000",,No Data,No Data,Japanese,,,39736,"20,201 - 50,000",Northeast,B-,MA,0,01752
R87761,735,"501 - 5,000",,No Data,No Data,Japanese,,,39736,"20,201 - 50,000",Northeast,B-,MA,0,01752
R85607,736,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,41422,"20,201 - 50,000",Northeast,A-,NJ,0,08054
R87875,759,"501 - 5,000",15600,No Data,No Data,Chinese-Unknown,,,16153,"5,001 - 20,000",Northeast,A+,RI,2,02806
R85375,789,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,34661,"20,201 - 50,000",Northeast,B-,CT,5,06040
R86108,792,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,10722,"5,001 - 20,000",Northeast,A-,NJ,0,07444
R87053,833,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,20571,"20,201 - 50,000",Northeast,A+,MA,0,02492
R86669,833,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,18827,"5,001 - 20,000",Northeast,A+,NJ,,07928
R86506,855,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,19852,"5,001 - 20,000",Northeast,B+,NJ,12,08872
R86193,856,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,23144,"20,201 - 50,000",Northeast,B-,CT,0,06042
R85892,874,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,50282,"50,001+",Northeast,B-,MA,16,01844
R86371,876,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,53954,"50,001+",Northeast,A,NJ,0,07470
R87856,876,"501 - 5,000",,No Data,No Data,Japanese,,,53954,"50,001+",Northeast,A,NJ,0,07470
R86728,880,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,2541,"1 - 5,000",Northeast,C,MA,4,01128
R86723,899,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,35190,"20,201 - 50,000",Northeast,B,NJ,8,08096
R87596,934,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,24993,"20,201 - 50,000",Northeast,C+,MA,9,02745
R87129,960,"501 - 5,000",,No Data,No Data,Japanese,,,31178,"20,201 - 50,000",Northeast,A,NJ,9,07747
R86256,960,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,31178,"20,201 - 50,000",Northeast,A,NJ,0,07747
R86059,969,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,35215,"20,201 - 50,000",Northeast,C+,CT,13,06450
R85893,981,"501 - 5,000",,No Data,No Data,Other,,,26503,"20,201 - 50,000",Northeast,A,NJ,1,07652
R87997,1051,"501 - 5,000",48000,No Data,No Data,Chinese-Unknown,,,8565,"5,001 - 20,000",Northeast,A+,NJ,0,07624
R87006,1062,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese;Thai,,,63415,"50,001+",Northeast,B,NJ,12,08753
R85528,1073,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,3864,"1 - 5,000",Northeast,B,NJ,3,07064
R85718,1092,"501 - 5,000",,No Data,No Data,Japanese,,,29306,"20,201 - 50,000",Northeast,A-,MA,21,02062
R85352,1150,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,4528,"1 - 5,000",Northeast,B+,NJ,0,07758
R86037,1170,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,56946,"50,001+",Northeast,A-,NJ,2,08854
R86926,1198,"501 - 5,000",,No Data,No Data,Japanese,,,12077,"5,001 - 20,000",Northeast,A+,NJ,0,08824
R86121,1207,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,14632,"5,001 - 20,000",Northeast,A+,NJ,1,07670
R85385,1258,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,21919,"20,201 - 50,000",Northeast,A+,CT,2,06825
R87567,1303,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,17406,"5,001 - 20,000",Northeast,A-,NJ,0,07081
R86505,1317,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,4474,"1 - 5,000",Northeast,B-,NJ,0,08751
R86112,1319,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,16769,"5,001 - 20,000",Northeast,B+,NJ,5,07730
R87853,1436,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,29143,"20,201 - 50,000",Northeast,C+,RI,2,02893
R86132,1455,"501 - 5,000",,No Data,No Data,,,,11398,"5,001 - 20,000",Northeast,B+,NJ,14,08031
R87152,1560,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,37165,"20,201 - 50,000",Northeast,B,RI,9,02920
R85036,1607,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,102466,"50,001+",Northeast,C-,NJ,0,08701
R87821,1626,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,45204,"20,201 - 50,000",Northeast,A+,NJ,6,08817
R85695,1698,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,21487,"20,201 - 50,000",Northeast,B-,RI,3,02914
R87833,1828,"501 - 5,000",32500,No Data,No Data,Chinese-Unknown,,,27030,"20,201 - 50,000",Northeast,A-,NJ,1,07424
R85323,1843,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,17981,"5,001 - 20,000",Northeast,B,NJ,7,07001
R87355,1922,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,24014,"20,201 - 50,000",Northeast,A,NJ,3,07016
R86658,1967,"501 - 5,000",,No Data,No Data,Japanese,,,54763,"50,001+",Northeast,B-,CT,12,06516
R85828,2048,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,43033,"20,201 - 50,000",Northeast,C+,MA,3,01970
R86032,2072,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese;Thai,,,41603,"20,201 - 50,000",Northeast,C,RI,6,02895
R82676,2186,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,18784,"5,001 - 20,000",Northeast,B,NJ,2,07506
R87616,2224,"501 - 5,000",,No Data,No Data,Japanese,,,28271,"20,201 - 50,000",Northeast,B-,NJ,0,07631
R85099,2264,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,30613,"20,201 - 50,000",Northeast,C-,RI,4,02904
R85967,2429,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Thai;Other,,,11500,"5,001 - 20,000",Northeast,A+,NJ,17,07661
R85967,2429,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,11500,"5,001 - 20,000",Northeast,A+,NJ,17,07661
R85862,2461,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,55162,"50,001+",Northeast,B,NJ,0,07083
R87189,2461,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,55162,"50,001+",Northeast,B,NJ,3,07083
R87765,2461,"501 - 5,000",,No Data,No Data,Japanese,,,55162,"50,001+",Northeast,B,NJ,1,07083
R85817,2468,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,15921,"5,001 - 20,000",Northeast,B-,RI,7,02911
R86666,2507,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese,,,22387,"20,201 - 50,000",Northeast,B-,RI,11,02910
R86615,2747,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,26174,"20,201 - 50,000",Northeast,C-,RI,0,02905
R87571,2798,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,16545,"5,001 - 20,000",Northeast,A,NJ,0,07646
R86715,2930,"501 - 5,000",,No Data,No Data,Japanese,,,20059,"20,201 - 50,000",Northeast,C+,NJ,7,07407
R87599,2930,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,20059,"20,201 - 50,000",Northeast,C+,NJ,1,07407
R86227,2944,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,29543,"20,201 - 50,000",Northeast,C+,NJ,3,07065
R89105,2944,"501 - 5,000",15600,No Data,No Data,Japanese,,,29543,"20,201 - 50,000",Northeast,C+,NJ,1,07065
R88686,3486,"501 - 5,000",,No Data,No Data,Chinese-Unknown,Chinese,Asian,17624,"5,001 - 20,000",Northeast,A,NJ,3,07628
R87633,4081,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,44339,"20,201 - 50,000",Northeast,B-,NJ,0,07601
R87209,4120,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,24430,"20,201 - 50,000",Northeast,B+,NJ,1,07644
R85118,4161,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,27933,"20,201 - 50,000",Northeast,D-,NJ,2,08105
R86115,4219,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,36173,"20,201 - 50,000",Northeast,C+,NJ,14,07109
R86695,4437,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,36314,"20,201 - 50,000",Northeast,C-,RI,0,02908
R87766,4441,"501 - 5,000",,No Data,No Data,Chinese-Unknown;Japanese;Other,,,13505,"5,001 - 20,000",Northeast,C-,NJ,4,07102
R87057,4581,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,61619,"50,001+",Northeast,C-,NJ,9,07047
R86259,4639,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,39783,"20,201 - 50,000",Northeast,B,NJ,15,07011
R89251,4646,"501 - 5,000",,No Data,No Data,Chinese-Unknown,,,24485,"20,201 - 50,000",Northeast,B,MA,0,02122
R89251,4646,"501 - 5,000",12480,No Data,No Data,Chinese-Unknown,,,24485,"20,201 - 50,000",Northeast,B,MA,0,02122
R86188,5490,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,31294,"20,201 - 50,000",Northeast,C-,RI,6,02907
R86866,5593,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,31695,"20,201 - 50,000",Northeast,C+,NJ,1,07026
R86251,5965,"5,001 - 20,000",,No Data,No Data,Japanese;Thai,"Japanese, Thai",Asian,7186,"5,001 - 20,000",Northeast,B,CT,,06901
R86677,6333,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,25327,"20,201 - 50,000",Northeast,B+,MA,15,02143
R83859,6364,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,27942,"20,201 - 50,000",Northeast,D,NJ,12,07018
R85059,6589,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,44951,"20,201 - 50,000",Northeast,B,MA,4,02135
R85035,6589,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,44951,"20,201 - 50,000",Northeast,B,MA,3,02135
R81051,7576,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,18100,"5,001 - 20,000",Northeast,C-,NJ,59,07514
R87872,8626,"5,001 - 20,000",,No Data,No Data,Japanese;Other,,,70090,"50,001+",Northeast,D+,NJ,2,07055
R87268,8842,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,37684,"20,201 - 50,000",Northeast,C-,NJ,10,07107
R85629,8842,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown,,,37684,"20,201 - 50,000",Northeast,C-,NJ,23,07107
R85716,8942,"5,001 - 20,000",,No Data,No Data,Chinese-Unknown;Japanese,,,43327,"20,201 - 50,000",Northeast,C,NJ,19,07304
