Page location,Date,Sessions,language_test,drop_group,snowball_id,list_source,country,format
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=18662,2023-12-02,1,Chinese Version,Drop 1 - US,18662,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=18933,2023-12-04,1,Chinese Version,Drop 1 - US,18933,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=18934,2023-12-01,1,Chinese Version,Drop 1 - US,18934,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=19290,2023-12-09,1,Chinese Version,Drop 1 - US,19290,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=20054,2023-12-06,1,Chinese Version,Drop 1 - US,20054,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=21259,2023-12-13,1,Chinese Version,Drop 1 - US,21259,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=22083,2023-12-23,1,Chinese Version,Drop 1 - US,22083,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=22083,2023-12-24,1,Chinese Version,Drop 1 - US,22083,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=22120,2023-12-05,1,Chinese Version,Drop 1 - US,22120,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=22374,2023-12-07,1,Chinese Version,Drop 1 - US,22374,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=22799,2023-12-05,1,Chinese Version,Drop 1 - US,22799,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23010,2023-12-04,1,Chinese Version,Drop 1 - US,23010,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23197,2023-12-17,1,Chinese Version,Drop 1 - US,23197,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23286,2023-12-05,2,Chinese Version,Drop 1 - US,23286,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23734,2023-12-05,1,Chinese Version,Drop 1 - US,23734,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23766,2023-12-04,1,Chinese Version,Drop 1 - US,23766,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=23766,2023-12-05,1,Chinese Version,Drop 1 - US,23766,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=24618,2023-12-10,1,Chinese Version,Drop 1 - US,24618,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=24819,2023-12-27,1,Chinese Version,Drop 1 - US,24819,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=24916,2023-12-20,1,Chinese Version,Drop 1 - US,24916,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=25007,2023-12-23,1,Chinese Version,Drop 1 - US,25007,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=25007,2023-12-24,1,Chinese Version,Drop 1 - US,25007,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=25007,2023-12-25,1,Chinese Version,Drop 1 - US,25007,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=25007,2023-12-30,1,Chinese Version,Drop 1 - US,25007,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=26728,2023-12-02,1,Chinese Version,Drop 1 - US,26728,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=26956,2023-12-16,1,Chinese Version,Drop 1 - US,26956,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=2700,2023-12-05,1,Chinese Version,Drop 1 - US,02700,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=2700,2023-12-07,1,Chinese Version,Drop 1 - US,02700,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=27199,2023-12-14,1,Chinese Version,Drop 1 - US,27199,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=27241,2023-12-04,1,Chinese Version,Drop 1 - US,27241,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=29682,2023-12-07,1,Chinese Version,Drop 1 - US,29682,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=29742,2023-12-13,1,Chinese Version,Drop 1 - US,29742,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=30095,2023-12-30,1,Chinese Version,Drop 1 - US,30095,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=30794,2023-12-05,1,Chinese Version,Drop 1 - US,30794,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=31376,2023-12-07,1,Chinese Version,Drop 1 - US,31376,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=32036,2023-12-12,1,Chinese Version,Drop 1 - US,32036,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=32036,2023-12-15,1,Chinese Version,Drop 1 - US,32036,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=34204,2023-12-05,1,Chinese Version,Drop 1 - US,34204,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=34436,2023-12-02,1,Chinese Version,Drop 1 - US,34436,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=34734,2023-12-02,1,Chinese Version,Drop 1 - US,34734,Brizo,United States,3D card
