fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
Didn't Fill,SC,Unknown,NA,6,USA,Apple,Japanese
Didn't Fill,TN,Unknown,NA,6,USA,Apple,Chinese
Filled,FL,Unknown,NA,6,USA,Apple,Cajun_Seafood
Didn't Fill,CA,Unkown,NA,6,USA,Apple,Chinese
Didn't Fill,CA,Unkown,NA,6,USA,Apple,Japanese
Didn't Fill,NY,Unknown,NA,7,USA,Apple,Cajun_Seafood
Didn't Fill,NY,Unknown,NA,7,USA,Apple,Cajun_Seafood
Didn't Fill,VA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,CA,Unkown,NA,7,USA,Apple,Japanese
Filled,CA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,NJ,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,AZ,Unknown,NA,7,USA,Apple,Chinese
Filled,CA,Unknown,NA,7,USA,Apple,Chinese
Filled,CA,Unknown,NA,7,USA,Apple,Chinese
Filled,CA,Unknown,NA,7,USA,Apple,Chinese
Filled,CA,Unknown,NA,7,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,MS,Unknown,NA,7,USA,Apple,Cajun_Seafood
Didn't Fill,NY,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,NY,Unknown,NA,7,USA,Apple,Chinese
Didn't Fill,CA,Unkown,NA,7,USA,Apple,Chinese
Didn't Fill,VA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,UT,Unkown,NA,7,USA,Apple,Japanese
Didn't Fill,WA,Unknown,NA,7,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,7,USA,Apple,Chinese
Didn't Fill,CA,Unkown,NA,7,USA,Apple,Chinese
Didn't Fill,MA,Unkown,NA,8,USA,Apple,Japanese
Filled,UT,Unknown,NA,8,USA,Apple,Japanese
Didn't Fill,AZ,Unknown,NA,8,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,8,USA,Apple,Chinese
Didn't Fill,KS,Unkown,NA,8,USA,Apple,Japanese
Didn't Fill,KS,Unkown,NA,8,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,8,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,8,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,8,USA,Apple,Japanese
Didn't Fill,MA,Unkown,NA,8,USA,Apple,Japanese
Didn't Fill,MA,Unkown,NA,8,USA,Apple,Japanese
Didn't Fill,MA,Unkown,NA,8,USA,Apple,Japanese
Didn't Fill,TX,Unknown,NA,8,USA,Apple,Asian_Fusion
Didn't Fill,GA,Unknown,NA,8,USA,Apple,Chinese
Didn't Fill,ON,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,9,Canada,Apple,Japanese
Filled,AB,Unknown,NA,9,Canada,Apple,Chinese
Filled,AB,Unknown,NA,9,Canada,Apple,Chinese
Filled,AB,Unknown,NA,9,Canada,Apple,Chinese
Didn't Fill,BC,Unknown,NA,9,Canada,Apple,Japanese
Didn't Fill,BC,Unknown,NA,9,Canada,Apple,Japanese
Didn't Fill,BC,Unkown,NA,9,Canada,Apple,Japanese
Didn't Fill,BC,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,SK,Unkown,NA,9,Canada,Apple,Chinese
Didn't Fill,NY,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,TN,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,TN,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,TN,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,TN,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,TN,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,WA,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,OK,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,PA,Unknown,NA,9,USA,Apple,Unknown
