column,na_count,na_pct
ringdna100_latest_disposition_c,719,0.7118811881188118
totango_totango_url_c,1010,1.0
jigsawcontactid,1010,1.0
pulley_dial_round_c,1010,1.0
interest_level_c,4,0.0039603960396039604
brizo_density_0m_c,1004,0.994059405940594
address,12,0.011881188118811881
brizo_menu_type_c,999,0.9891089108910891
menu_review_slack_link_c,1010,1.0
brizo_review_sites_c,1004,0.994059405940594
unqualified_reason_c,779,0.7712871287128713
brizo_review_score_by_source_c,1004,0.994059405940594
referrer_rid_c,1010,1.0
brizo_status_c,1002,0.9920792079207921
outbound_source_c,991,0.9811881188118812
restaurant_local_timezone_c,1,0.0009900990099009901
check_back_months_c,971,0.9613861386138614
ringdna100_time_since_last_email_attempt_minutes_c,1010,1.0
brizo_last_name_c,1010,1.0
ringdna100_numberoflocations_c,1010,1.0
number_of_touches_c,800,0.7920792079207921
ringdna100_last_outbound_message_c,947,0.9376237623762376
brizo_website_traffic_c,1010,1.0
time_to_first_touch_c,917,0.907920792079208
brizo_cuisines_continental_c,1004,0.994059405940594
latest_campaign_timestamp_c,788,0.7801980198019802
menu_approval_c,0,0.0
brizo_opening_hours_c,1002,0.9920792079207921
completed_time_c,383,0.3792079207920792
brizo_amenities_c,1002,0.9920792079207921
days_since_last_activity_c,108,0.10693069306930693
brizo_city_c,999,0.9891089108910891
suffix,1010,1.0
brizo_email_test_date_c,1010,1.0
geocodeaccuracy,1010,1.0
mentioned_competitor_c,785,0.7772277227722773
country,12,0.011881188118811881
id,0,0.0
totango_totango_last_update_c,1010,1.0
description,413,0.4089108910891089
totango_totango_overall_time_spent_c,1010,1.0
brizo_vitality_score_c,1004,0.994059405940594
totango_totangoengagement_c,1010,1.0
first_mql_timestamp_c,719,0.7118811881188118
referrer_first_name_c,1010,1.0
salutation,473,0.46831683168316834
actual_lead_source_c,515,0.5099009900990099
wechat_external_id_c,988,0.9782178217821782
lead_type_c,0,0.0
ownerid,0,0.0
sdr_note_c,959,0.9495049504950495
latest_mql_timestamp_c,718,0.7108910891089109
ringdna100_time_to_respond_c,783,0.7752475247524753
marketing_notes_c,1005,0.995049504950495
totango_totangoactive_users_last_14_days_c,1010,1.0
latest_campaign_c,788,0.7801980198019802
interested_in_restaurant_pos_c,997,0.9871287128712871
first_touch_time_c,917,0.907920792079208
country_c,892,0.8831683168316832
ae_assigned_time_c,0,0.0
brizo_url_c,1004,0.994059405940594
duration_sdr_complete_c,386,0.3821782178217822
brizo_email_test_result_c,1010,1.0
product_name_c,547,0.5415841584158416
direct_manager_sdr_c,634,0.6277227722772277
brizo_email_c,1010,1.0
pulley_highest_daily_takeout_volume_c,1010,1.0
duration_sdr_assigned_c,386,0.3821782178217822
totango_totango_license_utilization_c,1010,1.0
sdr_call_back_time_c,1009,0.999009900990099
working_start_time_c,383,0.3792079207920792
duration_ae_assigned_c,383,0.3792079207920792
ringdna100_last_outbound_call_c,706,0.699009900990099
last_touch_date_c,938,0.9287128712871288
lead_category_c,605,0.599009900990099
lastactivitydate,1009,0.999009900990099
ringdna100_last_inbound_message_c,991,0.9811881188118812
company,0,0.0
rejected_time_c,933,0.9237623762376238
brizo_phone_contact_c,1010,1.0
wecom_tag_ids_c,989,0.9792079207920792
lost_reason_c,1008,0.998019801980198
brizo_reputation_score_c,1004,0.994059405940594
mobilephone,915,0.905940594059406
owner_profile_name_c,26,0.02574257425742574
owner_type_c,0,0.0
review_completed_date_c,1010,1.0
brizo_email_type_c,1010,1.0
ringdna100_ringdna_context_c,0,0.0
mobile_primary_c,8,0.007920792079207921
daylight_saving_hour_c,0,0.0
brizo_visibility_score_change_c,1004,0.994059405940594
isconverted,0,0.0
days_since_assigned_to_person_c,2,0.0019801980198019802
hasoptedoutofemail,0,0.0
city,257,0.25445544554455446
mobile_secondary_c,919,0.9099009900990099
sdr_assigned_to_me_c,0,0.0
expected_gmv_2_c,0,0.0
brizo_established_c,1004,0.994059405940594
bypass_sdr_process_c,1010,1.0
leadsource,1005,0.995049504950495
expected_gmv_c,912,0.902970297029703
agent_tiering_after_nw_c,1010,1.0
brizo_80th_percentile_price_c,1004,0.994059405940594
was_hotlead_c,985,0.9752475247524752
first_touch_date_c,226,0.22376237623762377
is_user_owner_c,0,0.0
lead_id_c,0,0.0
assigned_sdr_c,527,0.5217821782178218
ringdna100_siccode_c,1010,1.0
brizo_facebook_c,1005,0.995049504950495
sales_cycle_length_c,1,0.0009900990099009901
emailbounceddate,1010,1.0
lead_source_c,0,0.0
num_of_saturday_orders_c,1010,1.0
expected_avg_daily_phone_orders_c,911,0.901980198019802
referrer_last_name_c,1010,1.0
postalcode,245,0.24257425742574257
ringdna100_productinterest_c,1010,1.0
currently_using_competitor_online_c,0,0.0
rmt_reject_reason_c,1010,1.0
date_assigned_to_person_c,2,0.0019801980198019802
ringdna100_first_outbound_call_c,706,0.699009900990099
expected_avg_monthly_workdays_c,909,0.9
totango_totangoonlinestatusimage_c,0,0.0
ringdna100_first_inbound_message_c,991,0.9811881188118812
phone,234,0.2316831683168317
brizo_id_c,597,0.5910891089108911
restaurant_cuisine_types_c,1010,1.0
brizo_main_dishes_c,1005,0.995049504950495
pulley_projected_gmv_c,1010,1.0
countrycode,12,0.011881188118811881
brizo_linkedin_c,1010,1.0
brizo_restaurant_first_seen_online_c,999,0.9891089108910891
flow_c,919,0.9099009900990099
brizo_old_ids_c,1004,0.994059405940594
isunreadbyowner,0,0.0
restaurant_type_c,122,0.12079207920792079
outbound_communication_type_c,986,0.9762376237623762
assigned_sdr_role_c,535,0.5297029702970297
bypass_owner_assignment_c,0,0.0
ringdna100_message_attempts_c,947,0.9376237623762376
middlename,1007,0.997029702970297
brizo_density_100m_c,1004,0.994059405940594
brizo_claimed_c,1004,0.994059405940594
ringdna100_time_since_last_call_attempt_days_c,706,0.699009900990099
asana_comments_c,850,0.8415841584158416
last_activity_by_c,989,0.9792079207920792
brizo_zip_postal_code_c,999,0.9891089108910891
interested_in_delivery_service_c,971,0.9613861386138614
brizo_country_c,999,0.9891089108910891
totango_totango_health_profile_name_c,1010,1.0
lead_tag_c,1002,0.9920792079207921
restaurant_time_c,0,0.0
lastmodifiedbyid,0,0.0
_airbyte_ab_id,0,0.0
_airbyte_emitted_at,0,0.0
_airbyte_normalized_at,0,0.0
_airbyte_lead_hashid,0,0.0
_airbyte_unique_key,0,0.0
id_1,0,0.0
restaurant_id_c,0,0.0
zip_code_1,0,0.0
city_1,0,0.0
state_code_1,0,0.0
population,0,0.0
population_band,0,0.0
density,0,0.0
density_band,0,0.0
median_household_income,0,0.0
median_income_band,0,0.0
timezone,0,0.0
school_zone,0,0.0
