column,na_count,na_pct
PROMOTIONS,158,0.14056939501779359
GOOGLE_MAPS_ZIP_CODE_URL,756,0.6725978647686833
IS_UBER_DELIVERY_SERVICEABLE,1123,0.9991103202846975
IS_DOORDASH_DELIVERY_SERVICEABLE,1124,1.0
IS_RELAY_DELIVERY_SERVICEABLE,1124,1.0
LATEST_ACTIVATION_DATE,321,0.28558718861209964
IS_AUTOPAY_ACTIVE,0,0.0
IS_ACH_AVAILABLE,0,0.0
LATEST_ACH_CREATE_DATE,705,0.6272241992882562
RESTAURANTS_WITHIN_3_MILES,794,0.7064056939501779
RESTAURANTS_WITHIN_10_MILES,624,0.5551601423487544
RESTAURANTS_WITHIN_20_MILES,592,0.5266903914590747
RESTAURANT_COORDINATES,556,0.49466192170818507
DE_MERCHANT_ID,850,0.7562277580071174
IS_WONDERS_PAY_ENABLED,0,0.0
IS_DELIVERY_ENABLED,0,0.0
PRODUCTS_SERVICED_LIST,835,0.7428825622775801
IS_COUPON_AVAILABLE,0,0.0
LASTMODIFIEDDATE,0,0.0
REFERRER_ID__C,1035,0.9208185053380783
RINGDNA100__TRACKINGNUMBER__C,1124,1.0
CD_DE_STATUS__C,1089,0.9688612099644128
DAYS_FROM_CW_TO_WPAY_ONBOARDING__C,1091,0.9706405693950177
HASOPENACTIVITY,0,0.0
RINGDNA100__LAST_INBOUND_CALL__C,1037,0.9225978647686833
RINGDNA100__TIME_SINCE_LAST_EMAIL_ATTEMPT_DAYS__C,1124,1.0
WONDERSPAY_NOTE__C,1096,0.9750889679715302
DAYS_FROM_KO_TO_FIRST_ORDER_DATE__C,1022,0.9092526690391459
NEXT_STEP_LAST_UPDATE__C,966,0.8594306049822064
CD_MENU_VALIDATION__C,1121,0.9973309608540926
EXPECTED_AVG_PHONE_ORDER_SIZE__C,970,0.8629893238434164
SECONDARY_CHURN_REASON_CSM_ASSESSED__C,965,0.858540925266904
DAYS_FROM_KO_TO_CLIENT_TECH_ONBOARDING__C,1023,0.9101423487544484
RINGDNA100__DELIVERYINSTALLATIONSTATUS__C,1124,1.0
CANCELLATION_REASON__C,1124,1.0
UBER_DD_SERVICEABILITY__C,1124,1.0
DAYS_FROM_CW_TO_KICKOFF_SCHEDULE__C,992,0.8825622775800712
IS_FILLED_QUESTION__C,0,0.0
ISDELETED,0,0.0
DURATION_CLOSED_WON__C,391,0.34786476868327404
TOTANGO__TOTANGO_ONLINE_STATUS__C,0,0.0
RETENTION_LEVERS_PROVIDED__C,1117,0.9937722419928826
SALES_MANAGER_APPROVED__C,1053,0.9368327402135231
RINGDNA100__DAYS_SINCE_LAST_ATTEMPT_CALL_OR_EMAIL__C,902,0.802491103202847
SD_MENU_QA__C,1120,0.99644128113879
RINGDNA100__TIME_TO_FIRST_DIAL_MINUTES__C,902,0.802491103202847
SCHEDULE_IF_THE_CLIENT_IS_PT__C,1100,0.9786476868327402
W9_ENVELOPE_COMPLETE__C,0,0.0
TOTANGO__TOTANGOENGAGEMENTCHANGE__C,1124,1.0
NO_OF_EFFECTIVE_CANCELLATION_DATE__C,939,0.8354092526690391
MENU_VALIDATION_POD_LEAD__C,1120,0.99644128113879
PREV_DELIVERY_SETUP_CHECK_REMOVED__C,1124,1.0
SERVICE_TYPE__C,372,0.3309608540925267
MENU_COMPLETION_DELAY__C,1019,0.9065836298932385
NUM_OF_DELIVERY_ORDERS_PER_DAY__C,1044,0.9288256227758007
REQUEST_CSM_TIGER_TEAM_REASON__C,1117,0.9937722419928826
LEAD_FIRST_TOUCH_DATE__C,667,0.5934163701067615
LEAD_CAPLAN__C,1098,0.9768683274021353
MENU_TYPE__C,1,0.0008896797153024911
STREET_FILE_UPDATE__C,1124,1.0
CURRENT_STATUS__C,978,0.8701067615658363
RESTAURANT_TIME_ZONE__C,0,0.0
EFFECTIVE_DATE__C,875,0.7784697508896797
CD_WPAY_STATUS__C,1091,0.9706405693950177
MENU_ONBOARDING_NOTES__C,1052,0.9359430604982206
ISCLOSED,0,0.0
NOTE_FOR_FINANCE__C,1011,0.8994661921708185
DATE_TIME_PROPOSAL_NEGOTIATION__C,389,0.34608540925266906
RESTAURANT_MENU_REPLACE__C,1124,1.0
RINGDNA100__LAST_EMAIL_ATTEMPT__C,1124,1.0
DAYS_FROM_KO_TO_PROJECTED_GO_LIVE_DATE__C,1017,0.9048042704626335
CAMPAIGNID,959,0.853202846975089
