quarter,month_c,date_c,week_c,campaign_c,unique_id,date,pageLocation,region,country
Q4,10,10/6/24,09/30-10/06,2024-oct-dm-chinese,27342,20241006,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=27342,California,United States
Q4,10,10/6/24,09/30-10/06,2024-oct-dm-chinese,50629,20241006,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=50629,Virginia,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-chinese,27342,20241007,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=27342,California,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-chinese,38128,20241007,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=38128,Maine,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-chinese,47419,20241007,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=47419,South Carolina,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-chinese,51613,20241007,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=51613,West Virginia,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-western,12652,20241007,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=12652,Michigan,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-western,21042,20241007,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=21042,Pennsylvania,United States
Q4,10,10/7/24,10/07-10/13,2024-oct-dm-western,23479,20241007,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=23479,Missouri,United States
Q4,10,10/8/24,10/07-10/13,2024-oct-dm-chinese,34741,20241008,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=34741,Texas,United States
Q4,10,10/8/24,10/07-10/13,2024-oct-dm-chinese,38050,20241008,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=38050,Massachusetts,United States
Q4,10,10/8/24,10/07-10/13,2024-oct-dm-chinese,49652,20241008,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=49652,Texas,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-chinese,35941,20241009,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=35941,Indiana,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-chinese,39130,20241009,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=39130,Kansas,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-chinese,39130,20241009,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=39130,Missouri,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-chinese,39585,20241009,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=39585,Montana,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-chinese,51003,20241009,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=51003,Washington,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-western,06023,20241009,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=06023,District of Columbia,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-western,11750,20241009,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=11750,Massachusetts,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-western,20045,20241009,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=20045,California,United States
Q4,10,10/9/24,10/07-10/13,2024-oct-dm-western,21775,20241009,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=21775,Tennessee,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-chinese,33266,20241010,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=33266,Florida,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-chinese,51003,20241010,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=51003,Washington,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-western,00681,20241010,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=00681,Wyoming,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-western,04958,20241010,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=04958,California,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-western,05021,20241010,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=05021,California,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-western,11577,20241010,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=11577,New York,United States
Q4,10,10/10/24,10/07-10/13,2024-oct-dm-western,26003,20241010,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=26003,Wisconsin,United States
Q4,10,10/11/24,10/07-10/13,2024-oct-dm-chinese,33795,20241011,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=33795,Florida,United States
Q4,10,10/11/24,10/07-10/13,2024-oct-dm-chinese,47056,20241011,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=47056,Massachusetts,United States
Q4,10,10/11/24,10/07-10/13,2024-oct-dm-western,15581,20241011,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=15581,New Jersey,United States
Q4,10,10/12/24,10/07-10/13,2024-oct-dm-chinese,37153,20241012,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=37153,Massachusetts,United States
Q4,10,10/12/24,10/07-10/13,2024-oct-dm-western,24643,20241012,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=24643,Virginia,United States
Q4,10,10/13/24,10/07-10/13,2024-oct-dm-western,03743,20241013,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=03743,California,United States
Q4,10,10/13/24,10/07-10/13,2024-oct-dm-western,20045,20241013,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=20045,California,United States
Q4,10,10/14/24,10/14-10/20,2024-oct-dm-chinese,32495,20241014,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=32495,Florida,United States
Q4,10,10/15/24,10/14-10/20,2024-oct-dm-chinese,48701,20241015,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=48701,Texas,United States
Q4,10,10/15/24,10/14-10/20,2024-oct-dm-western,25650,20241015,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=25650,Washington,United States
