Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
68879,Soho Steak & Seafood Sushi Bar,407 21st Ave N,Myrtle Beach,29577,SC,,8434439441
68880,Mitsuwa Japanese Hibachi,409 South Kings Hwy,Myrtle Beach,29577,SC,,8434483321
68881,Miyabi Kyoto Japanese Steak & Seafood House,9732 N Kings Hwy,Myrtle Beach,29572,SC,,8434499294
68882,Mizu,"8409 Dorchester Rd, Ste 101",North Charleston,29420,SC,,8434592858
68883,Osaka Hibachi & Sushi,1177 N Fraser St,Georgetown,29440,SC,,8434619916
68884,Rollin Local,732 Front St,Georgetown,29440,SC,,8434854345
68885,Fuji Teppanyaki Restaurant,97 Sea Island Pkwy,Beaufort,29907,SC,,8435242662
68886,Yokoso Japanese Steakhouse North Charleston,8601 S Antler Dr,North Charleston,29406,SC,,8435534522
68887,Mama Kims,349 King St,Charleston,29401,SC,,8435777177
68888,167 Sushi Bar,"289 E Bay St, Charleston",Charleston,29401,SC,,8436253031
68889,The Drop In Bar & Deli,32-B Ctr St,Folly Beach,29439,SC,,8436330234
68890,Fire Street Food,293 King St,Charleston,29401,SC,,8436410152
68891,Hachiya Kyoto - Murrells Inlet,4201 Hwy 17,Murrells Inlet,29576,SC,,8436514616
68892,Shiki Hibachi & Sushi Restaurant,11907 Hwy 707,Murrells Inlet,29576,SC,,8436519188
68893,Buoys On the Boulevard,93 S Ocean Blvd,North Myrtle Beach,29582,SC,,8436630330
68894,Odori Japanese Steakhouse,627 Main St,North Myrtle Beach,29582,SC,,8436630630
68895,Flying Fish Public Market & Grill,4744 Hwy 17 S,North Myrtle Beach,29582,SC,,8436633474
68896,Kobe Japanese Steak House,"91 Mathews Dr, Ste B",Hilton Head Island,29926,SC,,8436818038
68897,Indo Asian Bistro & Sushi Bar,"4620 Dick Pond Rd, Ste I",Myrtle Beach,29588,SC,,8436919557
68898,Bushido,"9730 Dorchester Rd, Ste 106",Summerville,29485,SC,,8436958777
68899,Fujiyama,"48 Burnt Church Rd, Ste 200DE",Bluffton,29910,SC,,8437069907
68900,Wicked Tuna,110 North Ocean Blvd,Myrtle Beach,29577,SC,,8437122430
68901,The Grumpy Monk,1317 Celebrity Cir Myrtle Beach,Myrtle Beach,29577,SC,,8437128020
68902,JINYA Ramen Bar - Hilton Head Island,"95 Mathew Dr, Ste F3",Hilton Head,29926,SC,,8437150691
68903,Nakama Sushi Bar & Grill,83 Pope Ave,Hilton Head Island,29928,SC,8432272401,8437153083
68904,Roti Rolls,,Charleston,29401,SC,,8437359664
68905,O-Ku,463 King St,Charleston,29403,SC,,8437370112
68906,Kings Sushi,"1119 Wappoo Rd, Ste H",Charleston,29407,SC,,8437375211
68907,Xiao Bao Biscuit,224 Rutledge Ave,Charleston,29403,SC,,8437433880
68908,Fancy Sushi Bar & Grill,"102 Buckwalter Pkwy, Ste 3",Bluffton,29910,SC,,8437575003
68909,843 Korean BBQ & Sushi House,6601 Rivers Ave,North Charleston,29406,SC,,8437649578
68910,Kanji - James Island,807 Folly Rd,Charleston,29412,SC,,8437796888
68911,Poke Cafe,"7620 Rivers Ave, Ste 355",North Charleston,29406,SC,,8437894032
68912,Ginza Japanese Grill,5647 Rivers Ave,North Charleston,29406,SC,,8437934923
68913,Hibachi Fusion,4490 Ladson Rd,Summerville,29485,SC,,8438218090
68914,Mei Thai Restaurant & Sushi Bar,7685 Northwoods Blvd,North Charleston,29406,SC,,8438248887
68915,CO Sushi,3098 Deville St,Myrtle Beach,29577,SC,,8438391733
68916,Mr. Fish Restaurant,6401 N Kings Hwy,Myrtle Beach,29572,SC,,8438393474
68917,Manta Steak & Seafood Sushi Bar,1206 S Kings Hwy,Myrtle Beach,29577,SC,,8438398007
68918,Sanno Japanese Express,2139 N Main St,Summerville,29486,SC,,8438710500
68919,Myles and Jun Yakitori,710 Bacons Bridge Rd,Summerville,29485,SC,,8438753195
68920,Fuji Sushi Nexton Summerville,501 Front St,Summerville,29486,SC,,8438799555
68921,Lifting Noodles Ramen,835 Savannah Hwy Charleston,Charleston,29407,SC,,8438878744
68922,Jimmy's Japanese Hibachi,3677 Renee Dr,Myrtle Beach,29579,SC,,8439034440
68923,Drink!,503 8th Ave N,Myrtle Beach,29577,SC,,8439162277
68924,E Noodles & Co,400 20th Ave S,Myrtle Beach,29577,SC,,8439168808
68925,D&D's House Of Curry,"780 Parris Island Gateway, Ste D",Beaufort,29906,SC,,8439410773
68926,2 Nixons,,Charleston,29401,SC,,8439700824
68927,Kings Sushi,"9970 Dorchester Rd, Unit C",Summerville,29485,SC,,8439707004
68928,Sushi 101 King,306 King St,Charleston,29401,SC,,8439744092
68929,Ti-Ney Bangkok II - Goose Creek,"216 St James Ave, Unit A",Goose Creek,29445,SC,,8439909979
68930,Hanagi Japanese Restaurant,900 South Disneyland Dr,Anaheim,92802,CA,,8444426244
68931,Suzaku Cafe,"120 Simons Run, Ste G",Lynchburg,24502,VA,,4342008104
68932,Koto Japanese Steak & Seafood House,2160 Wards Rd,Lynchburg,24502,VA,,4342379134
68933,Oishii! Japanese Hibachi & Sushi,3412 Waterlick Rd,Lynchburg,24502,VA,,4342398828
68934,Poke Sushi Bowl,1104 Emmet St N,Charlottesville,22903,VA,,4342845466
68935,Yamazato,"221 Main Ste, Ste B",Hurt,24563,VA,,4343248288
68936,Dumpling & Noodle Cart,1000 Floyd Ave,Richmond,23220,VA,,4343273734
68937,Kuma Sushi-Noodles & Bar,12 Elliewood Ave,Charlottesville,22903,VA,,4343282741
68938,Poke Sushi Bowl,101 14th St NW,Charlottesville,22903,VA,,4343288833
68939,North Street Press Club,127 North St,Farmville,23901,VA,,4343929444
68940,Shogun Japanese Steakhouse Hibachi & Sushi,707 N Main St,Farmville,23901,VA,,4343951005
68941,Mashumen,2208 Fontaine Ave,Charlottesville,22903,VA,,4344009007
68942,Mashu Festival,946 Grady Ave,Charlottesville,22903,VA,,4344009778
68943,Akira Sushi & Ramen,"3912 Lenox Ave, Ste 320",Charlottesville,22901,VA,,4344228982
68944,Iso Iso Ramen & Bar,1001 W Main St,Charlottesville,22903,VA,,4344652598
68945,Hibachi Guys,,Lynchburg,24504,VA,,4344739026
68946,Pangea Chinese,112 Westover Dr Danville,Danville,24541,VA,,4345495518
68947,Fuji Japan,"3405 Candlers Mountain Rd, Ste Fc5",Lynchburg,24502,VA,,4345824850
68948,Asian Cafe,265 Turkey Sag Trl,Palmyra,22963,VA,,4345916640
68949,Mizumi Japanese Bistro,1125 Main St,Lynchburg,24504,VA,,4346166199
68950,New Yamazato,228 Amelon Sq,Madison Heights,24572,VA,,4349298888
68951,Umi Sushi,7558 Pearl Rd,Middleburg Heights,44130,OH,,4402342888
68952,Sarku Japan,500 Southpark Ctr,Strongsville,44136,OH,,4402386683
68953,Sumo Boy Sushi and Teriyaki House,9393 Ave,Mentor,44060,OH,,4402558858
68954,Hayashi Mayple,540 Water St,Chardon,44024,OH,,4402861313
68955,LuckyÃ¢â¬â¢s Market,7596 Fredle Dr,Concord,44077,OH,,4402906550
68956,Kikos Kitchen,9179 Ave,Mentor,44060,OH,,4402907022
68957,Bluefin Hibachi and Sushi Bar,8820 Mentor Ave,Mentor,44060,OH,,4402907383
68958,Issho Ni Ramen Sushi & Hibachi,"34302 Euclid Ave, Unit 1-2",Willoughby,44094,OH,,4403068020
68959,The Reserve,42 N Main St,Chagrin Falls,44022,OH,,4403181492
68960,Sakkio Japan,3315 Midway Mall,Elyria,44035,OH,,4403244066
68961,BIBIBOP Asian Grill,1288 Som Center Rd,Mayfield Heights,44124,OH,,4403250232
68962,Omizu Japanese Restaurant,6843 Ridge Rd,Parma,44129,OH,,4403400888
68963,Oishi Ramen,8641 W Ridgewood Dr,Parma,44129,OH,,4403404591
