brizo_id,count
02cf7f8f4f6d36f0,3
05c988dd31b8a82d,8
06297172ff7cfa89,3
067e482f037261dc,3
09f45c50e2bb45a9,1
125bb2f6a5b0309f,5
127784269c84601e,3
14844c900649d2d7,5
153e190276a8008d,7
188696209acaa27b,2
1a0af4c9ae415fc2,1
1aabee93ec911eeb,1
1bee3fbcc97ec1a2,2
200ebbbde0b5a103,3
213968aacc6f2c76,3
225aa790c4a4dcea,3
26bc52764ae416e3,4
2b7426a79d582cb4,9
2d861d3605e2c119,1
2e0350026de61364,3
2e260c201cf6c75f,3
2f0d60c5c74c1d9e,7
30682cd8bd9b17fd,2
30efee4ef0c77292,9
34855985e1365ea4,7
36e46a83c7972faf,3
383d3cd72edb0d3a,4
39b780363a4da240,4
3a8b44acad026b2c,5
3bece9c02f299394,4
3cfcf6239f3e93d3,2
3d919be0be7580e8,3
3e09b5d061af943a,3
3ee9926a5fd802dc,4
42078202491b2a13,7
45b72a04f5a42d09,2
48b4034f58e07c5f,7
4b71edbaef494fd9,1
4c96b3fdd943bb8d,2
4d85be4d8f4f7ef9,2
4e722c5b8f409b96,6
4f2b6d7e423e5526,8
4f4c8b95c28f64c7,1
508e1947a995ce51,3
523cebc2a80186cd,2
528de266898f6c51,3
550315a96cc91ff0,9
58a0d531771c2e33,5
59ff82b86d0e8938,7
60e0c8279a045956,6
644e6af36e2be067,4
7264167719ae00c9,3
76469550a46e129e,4
7d8c550613770c59,4
7f26afc493a4b0a2,3
826722fd1eaab626,4
85c3d67489183585,3
86bc7d3a132fb93a,2
8e503dd6bd003547,6
934121f8c269cad3,5
9781647c47c5478e,1
98863902c2319e1d,4
9897f9917f51d664,3
9ea3b20a9ae782d4,8
a33031d438d3cbf3,9
a45a18579018fd75,4
a744c2e106aa9cd0,1
a7452d59f328f6cf,4
a8d202f5cf0a43c0,6
a8d217cd8119fe05,8
a928242075aeefb1,3
a99b73dad1dcd089,4
a9a321920476943f,3
acc62475694432fb,4
b296ca12ad588f92,3
b3b33e98e74cc393,2
b72e38d267e2a2ef,9
ba669aedffd377c0,2
bc3ddc9e0015bc40,2
c362bb70aedec4ac,4
c5a153f3b128e0d6,8
c961552dcf5b95b1,9
cacdf823abac6d3f,4
cbae5c3ee823b8d1,3
cc45dcf2bf05b0cc,3
cdd44cb217d9d13d,6
d2229f33c641cda6,7
d37a2e00c2f852d3,8
d495f41169e9feea,8
d615ce74fd940a54,7
d964b9b4d7533e3c,8
e082f1258a6c77ef,3
e09e0074a5bcb1da,3
e22d2201607cb057,2
e5ec363a78c1d484,2
e7b6bd1d4a377a1c,4
e82739516bc8e905,1
e86e18609f4c3cfc,4
e9149d7c1274f6eb,9
f0743ddea15cadc2,1
f1d8cf0a7aa3cda6,2
f8d8798d9aeb4875,8
fc211d11bfc3cc84,8
fd87102fe31eedcd,1
