brizo_id,count
00007b5fcec398ab,3
000144264e8456f6,4
0001aa412e069ffa,1
00022a7453654b49,5
000243c264f11715,6
0002741c5ef69aee,9
00029816f4114a62,13
0003aba06ccf49f8,20
0003d657a3caa6c3,15
00040d2a358f29ac,3
0004be01ccfd90c2,6
00050a062e1548d9,17
0007383c495b2257,15
0008ee0d78b18c92,1
00090b73d60e4a15,17
00093eaf976cbbe0,8
00098eed626fe857,18
000a7f8673ea99be,3
000aad001062c15f,20
000cceb32e66aff2,2
000d027ba3f7281a,1
000dab38dbaf09e1,20
000f3b7af1b50c56,6
000f43fe92cbf124,1
000f623140200b90,20
000faf1d085e5299,20
000fb8e93ce5c040,4
00105d1128dbbf4e,18
001095108432dc9e,3
001402d688f359ba,6
00140a440e1e2759,8
00143b158e6cad75,5
0014658fadbcd88d,8
00147fccd962ca33,4
0015c87800b14e03,9
00166df5d7024c23,3
0016c6b64d219380,1
001726706f86f0f2,18
00174285a1677953,3
0017dbf56bc5169c,10
0018598ac9ed4db2,14
001933179893dfd6,17
00193fd5ce38004b,21
0019e4ef40680e1f,12
0019ea5af10484b6,17
0019f79bc145df52,3
001b4f7728b659bb,3
001c67859317aee9,1
001ceaba473998e1,9
001d5e51a68be5ed,21
001e6e9e1e95d788,21
001e70093dbf4ae5,3
001ea6dba544a586,3
001f640db588f187,7
0020de5bbdd0c0c2,1
0021a4f2496882dd,9
0021f977cdc246fd,2
00232b02da5b9763,1
0023beb5235174ec,21
0024204eab37d328,17
00242e0ec8ba0968,3
0024ed3d8fc1ae53,5
0025228867c463f0,12
00253fda88598380,12
0025999b3a72c35d,20
00261e10a26f75cc,2
00261ff78cbe7839,4
0026525b5cc402a3,6
002677d1505378eb,3
0026c52a91255f3b,20
0026d99ae9883c93,16
0026e24098391fdd,15
00282d2fa2df2c18,21
0029125557d8dceb,2
0029deb215bb4331,14
0029e822728b2e4f,5
002a12a6c0254826,16
002a8c6751e4e768,11
002ab4c7b86738ff,18
002b4f9add6fa503,2
002ced324b9f9190,4
002dab389c8a81f3,2
002e811941082bec,3
002eaeedd5937d19,3
002ee183cee6b24c,18
002eed893f310be5,16
002f2f2ef49e05d6,8
002fc27dc0eccdee,8
003088df38072ed8,17
0030d8588378b847,5
0030ea24fdd58004,17
0031beb3b245d498,21
003390494c9fd3d1,17
0033cb7982626c1c,12
00347eba0180ad54,3
00349edd6aca80a4,3
0034aff2d8b65944,5
00358e8a8244ef04,15
0036ead3d04cca86,18
00370ffaea501b02,15
00386688819e129e,3
00394340c97de512,3
0039cb71f7c03025,20
003a185f13497219,3
003ad7d5d827a550,21
003b00e1e9240f3c,6
003bdb790e4ec052,18
003bf5ec93f0b157,21
003c0a412d384e70,18
003c585887e9c9b7,1
003c5baaf8b2663c,3
003c78a39d4f78cf,8
003cebf636a5f207,1
003d2703fdbfd2ac,19
003d375f7f7fdf2d,2
003dc90da5c1c837,11
003df4e57fd16505,7
003e867b34a40a67,17
003fb430a0d08753,14
003fb45f4587c855,5
00401898be3f44ee,2
00405e9d24491e1c,17
0040ce299a3de31d,4
0040fca0b5562f85,17
00426bdb81de52fa,16
0043b1364f35c396,18
00443db7dc317cf4,4
0044b5890d11de03,1
004501a3d2501748,3
00459812ea349dba,1
0045f21cf8dc5dd7,20
00465a48780ff41c,2
0048558069b6dc7e,21
004859031a53af13,2
00487631d8195080,10
0048d4ce87cd5acd,8
00498c960b6ac5c0,12
004994719d9a132e,5
0049cb24b31a9379,1
0049f142b3343095,2
004a0c626f01e229,6
004a60858c3b1aa2,1
004aa1f9dfeefdf4,7
004c1d43b1a1eea5,16
004c75bfb2d0941f,9
004d221683524093,2
004fd7971b451dd5,3
004fee77cf28c08d,6
00500a95006a055d,2
00505110604579da,4
00505c14318e4fc2,1
0050ebae4566cf6a,9
0051dafde0e56464,18
0052d1a969f7915b,19
0053bd5400528fdb,5
0053ddad0e2e1fb4,7
0054aa85df71adbe,4
0054decdb057e649,8
00558074452b191b,4
005604228f4000a9,21
005665fcbe0dadb2,20
0056ace13d66ed97,4
0057194042839bbd,2
0057bfe058cb51da,2
0059126d878c5b35,3
00592aa932932451,10
005a0c8a0ad3597b,7
005b9be800f7db06,8
005be3f96749e3e1,4
005cdf68a1c2e817,17
005dec9d38f7f241,3
005ebc36adf96942,4
005ed55b9a4e9305,6
005fe0c786cf4279,20
00601e7592daf747,2
0060a1dec7483540,8
0060cd1cd2e994c9,15
0060f83f3bacc847,9
0061188798bc1410,3
00611972a36b1993,4
006196a0d6046a6d,13
0061ffb3cf3fc1d3,9
00623c836869fe73,1
0062f022c3e1f0be,2
00632e6c82d4bfea,11
00651ae7892930e8,3
00667971d1296fbd,1
0066850ffd7d3757,20
006698e67ee0f782,3
0066a13b0361a9dd,18
0066a3de38845539,6
006725ab952e01b5,21
00673e553124136f,4
00675d2dac58b1df,1
00680f9c82852529,20
006862cb0980e2ca,12
006985789df69289,2
006ba53b07b2751b,17
006c2ac47c334af1,5
006c89f5da81f742,6
006cad24794dcd0c,20
006d828839278975,17
006d891eb6c8b457,17
006de4f5b50356ac,15
006edc1b8617413a,15
006fc26b2be3820d,3
00716148406afc56,1
00720e244b45df29,13
0072e22ce57573ab,18
007336d166772080,17
00739fd4975a9a99,3
0074d60d5f2a11c1,20
007550d44dc4be59,17
00755ce81d6962f8,15
00771cd45284e008,1
0077a1bb813fc21d,7
0077b47d5f591b2e,3
0077c35eed5f69e0,3
00785e0e590c6334,6
00791fd064ef4ad5,21
007920c35cadcbbc,5
00792189fd355d48,20
00794210a6538995,1
007a1004481b8b57,5
007a2c6637106488,8
007ce1576a1692ee,3
007d0121b98a4b52,5
007d24bbe39ab831,8
007dfcd93320b2a7,9
007e4b4ca1b13a84,2
007f210fdc98b6de,10
007f6b44a0b19c7e,3
007fff1154361d09,7
0081b48b91f8e3ef,8
0081f68916c1b9c0,20
0082065329378b02,14
00823c1deb12f6ff,4
008327638b3786ec,5
008452dd50cdeb39,1
00845e549fb1f87b,3
00860026e8d8d235,2
00860f9bbd2d012b,6
00863761d983fc71,12
008677f5cd46ea3a,18
0086bfabe3e58135,21
0087f4399b3b8c6d,8
008861e2eb4a1787,1
0088e774d0d24650,2
008961186837474c,20
008aabcb1abe16bd,2
008b8f9e9728b5c4,17
008c3cbef08cc405,5
008c4d9dc2612d54,20
008c6b9815eb90e6,9
008c8731b76ba75f,21
008d32e43547b054,21
008ddb1aa17fdc24,6
008e0de9167b88a0,5
008e4163072ee4d5,20
008e544d4303b81e,9
008eb1799c9799e2,14
008f03b15ccaf44c,20
008f723a335d7992,6
008f8b9a24810a55,2
008f905937b18185,6
009022aaaae90ef7,13
00906af1a27ca41e,3
00909bbe9afe4c5e,7
00933c915b909389,8
009373640215d0dd,11
00944184c42723bd,20
009442204056b3de,1
009532313e7a5943,20
0095c33d99817a5d,7
00969c1d53c845c7,1
00982fafc3ab274f,3
0098d7c48fb958d9,11
0098e0f15976d64e,17
0098efffb9deba12,20
009901e9a8973997,5
009b09eab407ecb1,8
009b28d6fae58cab,20
009ced62c4070f64,2
009d0b49b997451d,3
009d8a9a3581b70c,15
009dfb5baf62b04e,3
009e5a1009b10eb9,3
009fdd3cd96ff3ec,20
00a0a5c86c8cf414,21
00a11c4c3fc95dc9,2
00a1970cbe9cc654,12
00a26bbd684fc099,6
00a333118c7814e8,1
00a36b704f5b09b9,21
00a39684f803c69b,1
00a3c9d619300e14,6
00a42fac959b6cf6,7
00a52ae5ec8fc7af,6
00a5c60a740a0fec,3
00a60376e374077f,18
00a60c685bb1655c,1
00a62995e886d843,4
00a65d61e9b92ee3,20
00a6a05eaebfb446,3
00a7eca0d4c1d8d5,7
00a81616f395f4f2,20
00a89db15189e022,17
00a89e3c0b768c05,3
00aa1c128dd6a474,6
00aa2db86e4b012a,8
00aa38cfef7b1722,21
00ace50c784727d0,17
00ad6dda0b0275f2,7
00ae0f2bbda53425,10
00b0991d38884bdc,11
00b0bf6209314bfd,21
00b0e8089e2df04a,9
00b0faf94f2e54dc,2
00b104e1603da040,21
00b13a8c09fa440a,3
00b19b51cb5aa370,3
00b1ad023bfa0630,21
00b1bab0beb6e731,2
00b1e5a6f1e99510,17
00b2b17892403b18,5
00b377f41d00d9b9,13
00b3be9a691bef4e,11
00b5798c50602d9d,20
00b673a0f952ee68,1
00b6b1d76e54678a,15
00b6d8d520c7ef47,6
00b708909c3eaf99,3
00b72ebe15f1cd24,1
00b91446da261528,21
00b93c8d9f53af2c,12
00b95f943dc7761b,12
00b9b306cc153a5a,15
00ba135157e19e6d,20
00babbd566dac5df,17
00bb0d5a48c95590,12
00bb96dc64754a8a,12
00bbddeb8bface86,14
00bc3c5c2c1a3e46,10
00bd9d7f270b52b3,6
00beed18a25c97e3,3
00bf951f6618bf15,9
00c08d1d94dec2cd,1
00c11b1c5f6d0daa,13
00c27fae6e537d14,2
00c2d065613674df,1
00c304a812c5206d,20
00c5c1d97aeb8ea9,18
00c6fe071736762e,21
00c7b4f89c5d98cd,3
00c8841b62e64ad6,8
00c8ba29dc37aeb5,6
00c9104faeb78183,7
00c911f40be0c270,17
00c92edc658dd818,14
00ca655e10ba09c7,21
00caec1f4e08c13b,3
00cb8550c443b68b,7
00cbc62b360e9bac,3
00cdabd875d0c7f3,3
00d08933d7add903,14
00d0a5fda5a36a83,15
00d0e8a567ba924b,1
00d217b3e5895e86,18
00d3b0405384c1fb,18
00d443161816da37,14
00d475687b11746d,11
00d6015998c29b32,20
00d6c655e2fee709,21
00d6d257dd17af87,17
00d7ac7de0ad4344,14
00d7e09c3048d64c,5
00d7e6b16c6005ac,17
00d85b184695bbd1,20
00da1b8316a34f2b,5
00da8f432abccb01,2
00da9e6c9a57cc96,6
00db57bcb816a469,7
00dc0843607833a6,4
00dc470e44d509f6,6
00dccb35232a46bc,3
00de1fc2ada010a5,15
00df17f33a278a7d,5
00e03372b12a97bc,5
00e07a99c820d1e2,11
00e0801a31244e8b,15
00e0a6ab7e576436,21
00e256a0ca37a704,4
00e28c12c897d4e6,1
00e2a954dccb77e3,9
00e3150425eedf41,9
00e325cf8fb27ee0,17
00e39efaee41c7c5,1
00e3ce57060b24d2,2
00e83731f9951cd1,3
00e837d94da60efa,3
00e8679a527e5be3,20
00e8acde3ca2f214,17
00e95712bfbbe483,8
00e9a75e28bca330,20
00ea2aee9066f343,20
00eb3f11d517b9b1,17
00ebe0c76202f480,12
00ece38daf63a8eb,21
00f20c0abf0c7eb7,18
00f2c107f3da7f2a,9
00f2f955099d9e94,17
00f3041f288a9864,5
00f312ae6de3aa49,7
00f398d487717870,6
00f4a7aab8823cc5,16
00f625a65d3caa7c,7
00f734b3599a8538,3
00f82de44783f6aa,9
00f88e2dbe5abf44,14
00f8b9eec6de7cf0,6
00f8f9b2d4955835,17
00f9977bc9dc7fa1,17
00f9c47bece06033,9
00f9c8ae01d23041,20
00f9e6d6da2f93b1,21
00fa7ccb67ab618f,5
00fa916acbeba20c,1
00fa9e1accbb1a66,13
00fabb4aa0fec6f0,3
00fb1bf53fe43e5d,6
00fb9b3516c36f72,20
00fbdd5b18cd0a00,21
00fcf802b01a8064,4
00fd007839c1679e,3
00fdd0db19014070,4
00fe1c198359c4d1,8
00fed1ff2f96d004,5
00ff58631a9e5718,2
00ffef3630e1bf4b,8
010012dc1ab328df,1
01004d56fbfa17fb,1
0100abe55611525d,18
0101478fe982a0bc,3
0101a552dfa83ca8,3
