Page location,Date,Sessions,Total users
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=67078,20240319,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=67078,20240320,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=68130,20240406,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=68556,20240320,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=68564,20240321,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=68952,20240404,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69107,20240319,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69551,20240406,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69587,20240421,2,2
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69746,20240403,2,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69746,20240405,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69754,20240404,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69853,20240320,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=69900,20240320,2,2
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=70375,20240406,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=70571,20240320,1,1
https://getskt.com/2024apr-cw-v6/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=cw&utm_id=70716,20240413,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=19833,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=20261,20240320,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=20402,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=20598,20240415,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=20768,20240405,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=21266,20240402,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=21728,20240403,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=22256,20240403,2,2
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=22578,20240319,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=22578,20240320,1,1
