orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2016,12-10,5975
2016,12-23,6371
2016,07-26,2785
2016,02-24,3276
2016,12-24,5145
2016,11-09,4265
2016,08-29,3137
2016,05-10,2473
2016,10-16,3465
2016,07-09,3477
2016,01-13,2522
2016,05-14,3208
2016,04-30,3802
2016,11-11,5752
2016,07-22,4244
2016,10-04,3491
2016,04-20,2609
2016,02-02,2736
2016,10-11,3254
2016,09-18,3189
2016,09-23,4919
2016,01-11,2212
2016,04-22,4113
2016,11-15,4122
2016,04-23,3435
2016,01-27,2655
2016,03-18,3761
2016,12-31,5787
2016,02-20,3645
2016,11-04,6324
2016,03-27,2045
2016,08-04,3380
2016,04-10,2493
2016,11-05,5223
2016,10-06,4010
2016,05-16,2091
2016,10-14,5383
2016,01-25,2430
2016,09-12,2872
2016,10-12,3662
2016,11-19,5820
2016,10-17,3225
2016,05-18,2457
2016,12-05,4305
2016,11-27,4061
2016,12-18,4841
2016,03-04,4155
2016,11-22,4762
2016,02-03,3097
2016,07-12,2562
2016,02-16,2843
2016,03-24,3058
2016,03-10,2835
2016,01-14,2668
2016,02-06,3511
2016,04-27,2818
2016,09-19,2957
2016,09-11,3142
2016,02-26,4311
2016,03-31,3029
2016,07-11,2426
2016,10-30,4142
2016,03-07,2249
2016,04-02,3517
2016,01-07,2667
2016,04-16,3110
2016,08-19,4517
2016,06-02,3066
2016,11-02,4339
2016,06-08,2857
2016,08-05,4512
2016,06-10,3698
2016,06-14,2373
2016,06-18,3160
2016,04-11,2235
2016,01-15,3492
2016,09-20,3053
2016,12-08,5051
2016,08-25,3856
2016,05-12,2721
2016,03-16,2578
2016,06-23,3236
2016,04-26,2564
2016,05-08,2459
2016,08-06,3706
2016,03-05,3583
2016,08-16,3135
2016,06-28,2895
2016,12-15,5806
2017,05-25,6242
2017,05-31,5129
2017,10-14,7304
2017,09-30,7604
2017,07-02,5029
2017,05-30,4761
2017,05-04,6133
2017,07-09,4999
2017,11-09,7122
2017,12-01,10553
2017,06-26,4832
2017,10-06,8666
2017,05-07,4635
2017,08-11,8152
2017,03-06,4727
2017,05-17,4669
2017,05-14,4380
2017,07-30,5510
2017,05-09,4630
2017,07-07,8033
2017,08-08,5418
2017,05-22,4836
2017,07-15,6360
