UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R82201,CHINA STAR,"2. $10,000 to $29,999","$19,576",FL,33417,Southeast,2021-10-15T21:11:03Z,active,Chinese,2019,33743,"20,201 - 50,000",1957.9,"501 - 5,000","$47,293","$1 - $60,000",C+
R81077,*HONG KONG*,"1. < $10,000",$0,NY,11106,Northeast,2019-11-07T00:18:26Z,canceled,unknown,2019,37690,"20,201 - 50,000",17023,"5,001 - 20,000","$81,729","$60,000 - $100,000",B+
R86729,*JIN JIN*,"3. $30,000 to $49,999","$46,406",SC,29306,Southeast,2023-12-21T21:12:02Z,active,chinese,2019,16656,"5,001 - 20,000",338,101 - 500,"$35,439","$1 - $60,000",B
R82827,*CHINA FUN*,"2. $10,000 to $29,999","$27,527",OH,45750,Midwest,2022-02-10T16:46:35Z,active,chinese,2019,26473,"20,201 - 50,000",91.9,1 - 100,"$53,713","$1 - $60,000",C+
R88988,HONG KONG BISTRO,"2. $10,000 to $29,999","$24,288",FL,32320,Southeast,2019-08-05T22:07:33Z,canceled,unknown,2019,3887,"1 - 5,000",37.6,1 - 100,"$60,528","$60,000 - $100,000",C-
R86902,*^SING ON PHO^*,"1. < $10,000",$0,CO,80501,West,2024-01-29T19:05:06Z,active,unknown,2024,42077,"20,201 - 50,000",1312.2,"501 - 5,000","$77,327","$60,000 - $100,000",B+
R85256,*CHINA KING*,"1. < $10,000","$8,157",NY,10462,Northeast,2023-03-04T05:35:59Z,canceled,chinese,2019,75714,"50,001+",19830.2,"5,001 - 20,000","$63,431","$60,000 - $100,000",B+
R86039,*CHINA WOK*,"1. < $10,000",$0,FL,33607,Southeast,2023-08-21T19:09:05Z,canceled,chinese,2019,24384,"20,201 - 50,000",1039.6,"501 - 5,000","$57,581","$1 - $60,000",A-
R85786,*NEW CHINA*,"2. $10,000 to $29,999","$15,754",CT,6226,Northeast,2023-07-07T14:18:10Z,active,chinese,2019,19431,"5,001 - 20,000",1032.9,"501 - 5,000",NA,NA,C-
R82857,^HIBACHI 88^,"2. $10,000 to $29,999","$15,612",IA,51360,Midwest,2022-02-18T19:21:17Z,active,Chinese,2019,8312,"5,001 - 20,000",28.8,1 - 100,"$74,375","$60,000 - $100,000",B+
R82056,NO. 1,"2. $10,000 to $29,999","$25,153",VA,23320,Southeast,2021-09-22T19:58:57Z,active,chinese,2019,57619,"50,001+",701.2,"501 - 5,000","$81,963","$60,000 - $100,000",B+
R86703,*SUPER NO1*,,$0,WI,53221,Midwest,2023-12-17T18:28:15Z,onboarding,chinese,NA,40109,"20,201 - 50,000",1695.5,"501 - 5,000","$57,143","$1 - $60,000",NA
R82673,RIYEN CHINESE,"2. $10,000 to $29,999","$14,986",TX,75150,Southwest,2021-12-20T20:21:52Z,active,chinese,2019,60671,"50,001+",1835.1,"501 - 5,000","$66,265","$60,000 - $100,000",B
R86165,*^MAN HING^*,"2. $10,000 to $29,999","$16,527",MD,21221,Northeast,2023-09-13T00:27:57Z,suspended,unknown,2019,42078,"20,201 - 50,000",1100.1,"501 - 5,000","$68,140","$60,000 - $100,000",B-
R83025,*PEKING COURT*,"2. $10,000 to $29,999","$14,444",NY,12590,Northeast,2022-04-16T21:00:25Z,active,chinese,2019,34910,"20,201 - 50,000",391.2,101 - 500,"$102,212","$100,001 - $150,000",A-
R81936,HAPPY WOK,"3. $30,000 to $49,999","$30,302",PA,18020,Northeast,2021-08-30T22:30:18Z,active,chinese,2019,20393,"20,201 - 50,000",569.4,"501 - 5,000","$118,048","$100,001 - $150,000",B+
R81056,*YUMMY KITCHEN*,"1. < $10,000",$0,NY,13612,Northeast,2019-09-30T22:37:55Z,canceled,unknown,2021,2386,"1 - 5,000",52,1 - 100,"$70,223","$60,000 - $100,000",B-
R83089,MANDARIN CHEF,"2. $10,000 to $29,999","$19,810",OK,73160,Southwest,2022-05-11T23:04:31Z,active,chinese,2019,59509,"50,001+",1022.7,"501 - 5,000","$72,490","$60,000 - $100,000",A-
R82716,^LI GARDEN^,"3. $30,000 to $49,999","$48,038",FL,33844,Southeast,2021-12-30T21:56:33Z,active,unknown,2019,36701,"20,201 - 50,000",141.6,101 - 500,"$58,242","$1 - $60,000",C+
R86282,BEST WOK,"2. $10,000 to $29,999","$18,371",LA,70056,Southeast,2023-10-12T18:56:23Z,active,chinese,2019,40639,"20,201 - 50,000",2312.8,"501 - 5,000","$62,092","$60,000 - $100,000",C-
R85725,*FOOD KING KITCHEN*,"4. $50,000 - $99,999 ","$76,748",NY,11706,Northeast,2023-06-21T22:58:26Z,active,unknown,NA,68401,"50,001+",1549.8,"501 - 5,000","$110,965","$100,001 - $150,000",B-
R85118,CHAN SAN,"2. $10,000 to $29,999","$14,742",NJ,8105,Northeast,2023-01-24T05:11:11Z,suspended,chinese,2019,27933,"20,201 - 50,000",4161.2,"501 - 5,000",NA,NA,D-
R83005,*CHINA WOK*,"1. < $10,000","$2,656",IL,60134,Midwest,2022-04-07T21:29:18Z,canceled,chinese,2019,29458,"20,201 - 50,000",741.1,"501 - 5,000","$143,697","$100,001 - $150,000",A
R81753,*PEKING HOUSE*,"4. $50,000 - $99,999 ","$62,676",NJ,7642,Northeast,2021-07-10T20:10:38Z,active,unknown,2019,10317,"5,001 - 20,000",1369.6,"501 - 5,000",NA,NA,A+
R82607,HAPPY HOUSE,"2. $10,000 to $29,999","$17,450",FL,33813,Southeast,2021-11-30T17:45:02Z,active,chinese,2019,38214,"20,201 - 50,000",957.4,"501 - 5,000","$93,306","$60,000 - $100,000",B
R83225,CHINA EAST,"1. < $10,000","$8,864",NY,11784,Northeast,2022-07-07T02:26:17Z,active,chinese,2019,25337,"20,201 - 50,000",1790,"501 - 5,000","$108,913","$100,001 - $150,000",A-
R83102,CHINA GARDEN,"3. $30,000 to $49,999","$35,577",FL,33782,Southeast,2022-05-23T18:34:22Z,active,chinese,2019,23443,"20,201 - 50,000",1682.7,"501 - 5,000","$66,824","$60,000 - $100,000",B
R86387,GRAND WOK,"1. < $10,000","$4,515",TX,77449,Southwest,2023-11-05T14:46:00Z,active,chinese,2023,128294,"50,001+",1658,"501 - 5,000","$82,300","$60,000 - $100,000",A-
R88703,MAIN MOON,"2. $10,000 to $29,999","$27,427",CT,6070,Northeast,2018-07-18T14:40:39Z,active,unknown,2019,15734,"5,001 - 20,000",277.2,101 - 500,NA,NA,A+
R86723,^ORIENTAL EXPRESS^,"3. $30,000 to $49,999","$49,589",NJ,8096,Northeast,2023-12-21T01:48:27Z,active,Chinese,2019,35190,"20,201 - 50,000",899.3,"501 - 5,000",NA,NA,B
R83972,LUCKY STAR,"2. $10,000 to $29,999","$25,072",NJ,7111,Northeast,2022-12-09T01:15:30Z,active,chinese,NA,54079,"50,001+",7161.7,"5,001 - 20,000",NA,NA,D
R88799,*NO.1 GREAT WALL*,"2. $10,000 to $29,999","$18,588",NY,11212,Northeast,2018-11-02T15:00:48Z,active,unknown,NA,75605,"50,001+",18970.3,"5,001 - 20,000","$35,840","$1 - $60,000",B+
R82966,RONG HUA,"2. $10,000 to $29,999","$21,391",WI,53403,Midwest,2022-03-25T21:16:49Z,active,Chinese,2019,26339,"20,201 - 50,000",1066.9,"501 - 5,000","$55,811","$1 - $60,000",B-
R85911,^DUO MODERN JAPANESE CUISINE^,"1. < $10,000","$8,343",NY,12866,Northeast,2023-08-02T19:33:42Z,suspended,unknown,2019,39689,"20,201 - 50,000",228.7,101 - 500,"$96,678","$60,000 - $100,000",A
R86618,*^LIN SHENG^*,"1. < $10,000","$2,912",PA,19104,Northeast,2023-12-05T21:23:02Z,suspended,unknown,2023,53560,"50,001+",6862.5,"5,001 - 20,000","$33,766","$1 - $60,000",D+
R83388,NEW PEKING GARDEN,"2. $10,000 to $29,999","$18,484",NC,28562,Southeast,2022-08-09T16:52:02Z,active,chinese,NA,38317,"20,201 - 50,000",95.9,1 - 100,"$73,010","$60,000 - $100,000",B
R82659,COLUMBINE GARDENS,"2. $10,000 to $29,999","$16,702",CO,80132,West,2021-12-14T20:22:25Z,active,chinese,2019,21286,"20,201 - 50,000",268.8,101 - 500,"$147,908","$100,001 - $150,000",A
R82761,GREAT WALL,"1. < $10,000","$4,529",NY,10033,Northeast,2022-01-12T17:09:30Z,active,chinese,2019,58349,"50,001+",37787.9,"20,001+","$77,209","$60,000 - $100,000",B+
R82679,*CHINA WOK*,"2. $10,000 to $29,999","$23,892",SC,29511,Southeast,2021-12-24T19:24:59Z,active,chinese,2019,5432,"5,001 - 20,000",34.1,1 - 100,"$72,699","$60,000 - $100,000",A-
R83837,^DUNDALK SUSHI^,"2. $10,000 to $29,999","$10,679",MD,21222,Northeast,2022-11-03T17:48:41Z,active,japanese,2023,55212,"50,001+",1944.5,"501 - 5,000","$60,483","$60,000 - $100,000",C
R86062,^LAM'S GARDEN^,"2. $10,000 to $29,999","$17,294",PA,15370,Northeast,2023-08-23T14:14:04Z,canceled,chinese,2019,14440,"5,001 - 20,000",37.7,1 - 100,"$67,730","$60,000 - $100,000",C
R86853,*DRAGON CITY*,"3. $30,000 to $49,999","$31,707",IL,61350,Midwest,2024-01-17T23:31:12Z,active,chinese,NA,24182,"20,201 - 50,000",60.7,1 - 100,"$72,323","$60,000 - $100,000",B
R83159,^PEKING GARDEN^,"3. $30,000 to $49,999","$39,918",NY,10509,Northeast,2022-06-10T22:29:08Z,active,chinese,2019,19582,"5,001 - 20,000",209.4,101 - 500,"$117,586","$100,001 - $150,000",A-
R85721,NEW WORLD AMERICAN KITCHEN,"2. $10,000 to $29,999","$27,513",NY,11420,Northeast,2023-06-20T23:48:56Z,suspended,chinese,2019,47470,"20,201 - 50,000",8822.6,"5,001 - 20,000","$97,919","$60,000 - $100,000",B+
R81273,*SUN HING*,"2. $10,000 to $29,999","$18,082",CT,6716,Northeast,2020-09-03T19:33:33Z,active,chinese,2019,16615,"5,001 - 20,000",313.8,101 - 500,NA,NA,A-
R81137,WAH KING,"2. $10,000 to $29,999","$10,150",NY,11421,Northeast,2020-01-12T16:50:07Z,canceled,unknown,NA,41251,"20,201 - 50,000",12345,"5,001 - 20,000","$81,324","$60,000 - $100,000",B+
R83125,*CHOPSTIX*,"3. $30,000 to $49,999","$37,758",NC,28405,Southeast,2022-05-29T22:29:53Z,active,chinese,2019,32909,"20,201 - 50,000",528,"501 - 5,000","$64,853","$60,000 - $100,000",A-
R86561,*TASTE OF ASIA*,"2. $10,000 to $29,999","$15,391",CO,80238,West,2023-11-21T18:55:33Z,active,chinese,2019,21632,"20,201 - 50,000",1718.1,"501 - 5,000","$157,706","$150,001 - $250,000",B
R82795,*CHINA 1 EXPRESS*,"2. $10,000 to $29,999","$19,947",FL,33409,Southeast,2022-01-24T21:35:53Z,suspended,unknown,2019,33212,"20,201 - 50,000",2072.1,"501 - 5,000","$60,484","$60,000 - $100,000",C+
R83762,*^KAM HAI^*,"1. < $10,000","$6,463",NY,11218,Northeast,2022-10-13T20:06:13Z,active,unknown,2019,72413,"50,001+",19572.7,"5,001 - 20,000","$87,759","$60,000 - $100,000",B+
R81837,CHINA STAR KITCHEN,"2. $10,000 to $29,999","$27,390",NJ,7055,Northeast,2021-08-05T14:41:33Z,active,chinese,2019,70090,"50,001+",8625.6,"5,001 - 20,000",NA,NA,D+
R86712,*^KING WAH^*,"1. < $10,000","$6,745",MS,39520,Southeast,2023-12-19T23:17:16Z,active,Chinese,2019,17972,"5,001 - 20,000",74.8,1 - 100,"$56,147","$1 - $60,000",B+
R83255,*EVER GREEN*,"2. $10,000 to $29,999","$25,786",DE,19802,Northeast,2022-07-13T19:03:59Z,active,chinese,2019,25715,"20,201 - 50,000",3129.8,"501 - 5,000","$53,907","$1 - $60,000",B+
R86987,*CHINA SEA*,,$0,MD,21703,Northeast,2024-02-16T18:11:12Z,onboarding,chinese,2019,37473,"20,201 - 50,000",435,101 - 500,"$103,028","$100,001 - $150,000",NA
R86707,*CHINA 1*,"1. < $10,000","$2,866",GA,31324,Southeast,2023-12-19T02:49:45Z,active,chinese,2019,26684,"20,201 - 50,000",80.4,1 - 100,"$104,411","$100,001 - $150,000",A-
R86801,*SHREWSBURY NO.1 SZECHUAN*,"2. $10,000 to $29,999","$19,354",PA,17361,Northeast,2024-01-08T17:50:41Z,active,chinese,NA,6315,"5,001 - 20,000",781.6,"501 - 5,000","$93,886","$60,000 - $100,000",A-
R85766,*LIN'S KITCHEN*,"2. $10,000 to $29,999","$17,165",MO,64029,Midwest,2023-06-30T03:19:19Z,active,chinese,2019,18307,"5,001 - 20,000",248.6,101 - 500,"$88,169","$60,000 - $100,000",A
R86185,NEW CHINA,"3. $30,000 to $49,999","$38,598",FL,34652,Southeast,2023-09-17T23:36:10Z,active,chinese,2019,23688,"20,201 - 50,000",1069.4,"501 - 5,000","$48,891","$1 - $60,000",B
R85183,CHINA KING,"1. < $10,000","$9,713",TN,37211,Southeast,2023-02-10T07:12:26Z,active,chinese,2019,75955,"50,001+",1371.7,"501 - 5,000","$64,856","$60,000 - $100,000",C+
R81253,*CHINA EXPRESS*,"1. < $10,000","$2,349",CT,6340,Northeast,2020-08-19T21:33:56Z,canceled,unknown,NA,30403,"20,201 - 50,000",512.7,"501 - 5,000",NA,NA,A-
R81957,^CHINA GARDEN BUFFET^,"2. $10,000 to $29,999","$15,581",WV,25701,Southeast,2021-08-31T01:20:07Z,active,Chinese,2019,20375,"20,201 - 50,000",221.3,101 - 500,"$47,557","$1 - $60,000",B-
R83936,*PANDA CHINESE RESTAURANT*,"1. < $10,000","$9,598",GA,30047,Southeast,2022-12-03T08:14:56Z,active,chinese,2019,65937,"50,001+",917.9,"501 - 5,000","$85,985","$60,000 - $100,000",A
R88899,^NEW CHINA^,"2. $10,000 to $29,999","$21,173",IL,61254,Midwest,2019-03-26T17:30:31Z,active,unknown,2019,11003,"5,001 - 20,000",24.6,1 - 100,"$84,009","$60,000 - $100,000",B+
R88865,CHINA BISTRO,"1. < $10,000","$7,856",TX,77084,Southwest,2019-02-05T21:48:46Z,canceled,unknown,NA,107673,"50,001+",1356.1,"501 - 5,000","$75,510","$60,000 - $100,000",A
R86125,^GOLDEN WOK^,"3. $30,000 to $49,999","$35,158",PA,16508,Northeast,2023-09-01T19:51:16Z,canceled,Chinese,2019,16182,"5,001 - 20,000",2209.8,"501 - 5,000","$53,197","$1 - $60,000",C-
R88531,NO.1,"3. $30,000 to $49,999","$45,817",NY,12901,Northeast,2017-05-13T16:39:40Z,active,unknown,2019,33312,"20,201 - 50,000",169.3,101 - 500,"$57,811","$1 - $60,000",C+
R83058,^ICHIRO^,"1. < $10,000","$9,143",SC,29732,Southeast,2022-04-26T20:02:02Z,active,japanese,2019,59059,"50,001+",427.6,101 - 500,"$77,601","$60,000 - $100,000",B
R85727,*^WOKCANO^*,,$0,CA,90046,West,2023-06-21T23:17:43Z,onboarding,Chinese,2019,50900,"50,001+",3397.6,"501 - 5,000","$87,339","$60,000 - $100,000",NA
R85632,CHEF KING,"2. $10,000 to $29,999","$14,649",NY,14606,Northeast,2023-05-27T19:44:48Z,active,chinese,2019,28296,"20,201 - 50,000",1122.9,"501 - 5,000","$55,346","$1 - $60,000",B-
R85391,*CHINA MOON*,"2. $10,000 to $29,999","$23,065",VA,23702,Southeast,2023-04-17T05:30:37Z,active,chinese,2019,11020,"5,001 - 20,000",1687.6,"501 - 5,000","$45,772","$1 - $60,000",C-
R83582,^HUNAN CHEF^,"1. < $10,000","$5,440",TX,78613,Southwest,2022-10-01T18:05:03Z,active,chinese,2019,81943,"50,001+",1123.8,"501 - 5,000","$116,893","$100,001 - $150,000",A+
R83259,CHERRY GARDEN,"4. $50,000 - $99,999 ","$50,447",IL,61571,Midwest,2022-07-13T21:40:23Z,active,unknown,2019,24903,"20,201 - 50,000",169.3,101 - 500,"$85,853","$60,000 - $100,000",A-
R83683,*LEE'S KITCHEN*,"2. $10,000 to $29,999","$21,996",FL,32163,Southeast,2022-09-24T18:19:11Z,active,chinese,2021,NA,NA,NA,NA,NA,NA,NA
R83673,*GOLDEN BOWL CHOP SUEY*,"4. $50,000 - $99,999 ","$61,949",MI,48235,Midwest,2022-09-22T04:41:13Z,active,chinese,2019,46450,"20,201 - 50,000",2869.1,"501 - 5,000","$38,901","$1 - $60,000",D+
R88522,*MR. CHANG'S*,"2. $10,000 to $29,999","$29,196",FL,33323,Southeast,2017-04-20T14:05:13Z,canceled,unknown,2019,21651,"20,201 - 50,000",1394.6,"501 - 5,000","$110,395","$100,001 - $150,000",B
R82853,^OISHI^,"2. $10,000 to $29,999","$27,216",AL,35906,Southeast,2022-02-18T19:08:36Z,active,Chinese,2019,9811,"5,001 - 20,000",107.9,101 - 500,"$60,373","$60,000 - $100,000",B+
R82379,CHINA MOON,"3. $30,000 to $49,999","$31,752",MO,65202,Midwest,2021-11-01T15:48:00Z,active,chinese,2019,47721,"20,201 - 50,000",123.8,101 - 500,"$66,384","$60,000 - $100,000",B+
R86155,PANDA GARDEN,"2. $10,000 to $29,999","$22,854",OH,44601,Midwest,2023-09-08T20:23:22Z,active,chinese,2019,34618,"20,201 - 50,000",163.5,101 - 500,"$59,177","$1 - $60,000",B-
R88515,LUCKY 7,"2. $10,000 to $29,999","$17,148",NC,27513,Southeast,2017-04-10T21:12:22Z,canceled,unknown,2019,45542,"20,201 - 50,000",1112.5,"501 - 5,000","$116,669","$100,001 - $150,000",A+
R86158,PEKING,"3. $30,000 to $49,999","$33,973",NY,12010,Northeast,2023-09-09T22:09:25Z,active,chinese,2019,28152,"20,201 - 50,000",83.2,1 - 100,"$55,083","$1 - $60,000",C+
R85659,KING HOUSE,"2. $10,000 to $29,999","$10,242",PA,19403,Northeast,2023-06-01T19:24:16Z,active,chinese,2019,46592,"20,201 - 50,000",758,"501 - 5,000","$95,711","$60,000 - $100,000",B
R82998,*GOLDEN WOK*,"2. $10,000 to $29,999","$20,979",CT,6320,Northeast,2022-04-06T15:09:56Z,active,chinese,2019,26999,"20,201 - 50,000",1883.2,"501 - 5,000",NA,NA,D
R85525,CHINA KING,"2. $10,000 to $29,999","$15,931",NC,27804,Southeast,2023-04-26T04:32:04Z,active,chinese,2019,29519,"20,201 - 50,000",269.5,101 - 500,"$54,604","$1 - $60,000",C+
R82018,TASTE OF CHINA,"2. $10,000 to $29,999","$28,643",KY,41008,Southeast,2021-09-18T20:25:39Z,active,chinese,2019,7038,"5,001 - 20,000",62.5,1 - 100,"$52,083","$1 - $60,000",D+
R88816,CHINA HOUSE,"2. $10,000 to $29,999","$10,600",NJ,7504,Northeast,2018-12-17T21:00:07Z,active,chinese,2019,11578,"5,001 - 20,000",5393.6,"5,001 - 20,000",NA,NA,C-
R86557,*PAN ASIAN*,"2. $10,000 to $29,999","$12,350",KY,42301,Southeast,2023-11-26T00:39:46Z,active,chinese,2019,44079,"20,201 - 50,000",99.5,1 - 100,"$59,478","$1 - $60,000",B
R82666,RED LANTERN HOUSE,"2. $10,000 to $29,999","$15,836",PA,16901,Northeast,2021-12-16T19:21:13Z,active,chinese,2022,10245,"5,001 - 20,000",17,1 - 100,"$63,035","$60,000 - $100,000",B
R82717,NO. 1,"1. < $10,000","$8,872",DE,19901,Northeast,2022-01-05T18:08:52Z,active,unknown,2019,37182,"20,201 - 50,000",180.3,101 - 500,"$61,809","$60,000 - $100,000",B+
R88227,NEW HAPPY FORTUNE,"1. < $10,000","$3,234",NY,11377,Northeast,2016-01-01T05:00:00Z,canceled,unknown,NA,83825,"50,001+",12758.9,"5,001 - 20,000","$72,273","$60,000 - $100,000",B+
R81040,TEST RESTO 40,,$0,NY,11101,Northeast,2023-08-10T05:00:50Z,canceled,unknown,NA,31366,"20,201 - 50,000",4651.5,"501 - 5,000","$109,625","$100,001 - $150,000",NA
R83916,WING SING KITCHEN,"1. < $10,000","$9,835",NY,12524,Northeast,2022-11-26T20:54:31Z,active,chinese,2019,15934,"5,001 - 20,000",379.4,101 - 500,"$90,654","$60,000 - $100,000",A-
R81007,*LITTLE BASIL*,"2. $10,000 to $29,999","$16,858",PA,19010,Northeast,2019-08-21T20:22:38Z,active,unknown,2019,21572,"20,201 - 50,000",988.3,"501 - 5,000","$136,955","$100,001 - $150,000",A+
R85523,TOP'S CHINA,"2. $10,000 to $29,999","$21,478",VA,22309,Southeast,2023-04-24T09:48:00Z,active,chinese,2019,37464,"20,201 - 50,000",1921.4,"501 - 5,000","$105,683","$100,001 - $150,000",B
R83517,*AISHAH'S*,"4. $50,000 - $99,999 ","$79,782",NJ,7112,Northeast,2022-08-16T16:34:54Z,active,unknown,NA,25016,"20,201 - 50,000",5360.9,"5,001 - 20,000",NA,NA,C-
R86691,LITTLE CHILI,"1. < $10,000","$8,500",OK,73013,Southwest,2023-12-15T18:33:54Z,active,chinese,2023,54181,"50,001+",716.3,"501 - 5,000","$106,958","$100,001 - $150,000",A+
R82832,^SUKI^,"2. $10,000 to $29,999","$14,690",OH,44857,Midwest,2022-02-14T21:10:59Z,active,japanese,2019,23303,"20,201 - 50,000",108.3,101 - 500,"$62,528","$60,000 - $100,000",B-
R86513,^BEST CHINA^,"3. $30,000 to $49,999","$44,640",SC,29169,Southeast,2023-11-12T21:12:15Z,active,unknown,NA,24321,"20,201 - 50,000",783.7,"501 - 5,000","$51,496","$1 - $60,000",B
R81028,CHINA WOK,"3. $30,000 to $49,999","$44,322",NY,10469,Northeast,2019-09-12T16:37:31Z,active,unknown,2019,72384,"50,001+",11302.3,"5,001 - 20,000","$76,731","$60,000 - $100,000",B+
R86979,*^STEAMING SEAFOOD^*,,$0,CA,95901,West,2024-02-14T17:14:07Z,onboarding,unknown,2019,33455,"20,201 - 50,000",65.7,1 - 100,"$59,378","$1 - $60,000",NA
R83156,*CHINA TASTE*,"2. $10,000 to $29,999","$22,820",NJ,7605,Northeast,2022-06-08T16:42:07Z,active,chinese,2019,9086,"5,001 - 20,000",2274.2,"501 - 5,000",NA,NA,A+
R85981,TENG DRAGON,"3. $30,000 to $49,999","$31,791",NY,10039,Northeast,2023-08-15T22:37:16Z,active,unknown,NA,27854,"20,201 - 50,000",24590.9,"20,001+","$51,904","$1 - $60,000",B+
R86385,*^GARDEN DYNASTY^*,"1. < $10,000",$0,NY,10940,Northeast,2023-11-02T14:09:19Z,suspended,chinese,2023,48021,"20,201 - 50,000",285.7,101 - 500,"$81,158","$60,000 - $100,000",B
R85278,*EAST CHINA*,"1. < $10,000","$1,547",PA,17067,Northeast,2023-03-10T09:53:07Z,pause,chinese,2019,15389,"5,001 - 20,000",121.1,101 - 500,"$78,556","$60,000 - $100,000",C+
R86727,LO'S CHINESE RESTAURANT,"2. $10,000 to $29,999","$14,241",PA,19124,Northeast,2023-12-21T20:22:39Z,active,chinese,2019,70304,"50,001+",5567.6,"5,001 - 20,000","$44,683","$1 - $60,000",D+
R82092,*DRAGON CHINA*,"3. $30,000 to $49,999","$43,869",OH,43110,Midwest,2021-10-03T16:35:00Z,active,chinese,2019,39220,"20,201 - 50,000",301.5,101 - 500,"$70,549","$60,000 - $100,000",B+
R83659,*^TOKYO JAPANESE RESTAURANT^*,,$0,NC,27834,Southeast,2022-09-17T17:31:57Z,canceled,japanese,2019,57258,"50,001+",125.1,101 - 500,"$44,515","$1 - $60,000",NA
R87019,*^ASIAN KITCHEN^*,,$0,SC,29418,Southeast,2024-02-25T17:18:07Z,onboarding,unknown,NA,21460,"20,201 - 50,000",614.4,"501 - 5,000","$58,404","$1 - $60,000",NA
R82009,^ASIAN WOK^,"2. $10,000 to $29,999","$17,338",KY,40206,Southeast,2021-09-15T21:05:33Z,active,japanese,2019,19693,"5,001 - 20,000",1329.2,"501 - 5,000","$69,241","$60,000 - $100,000",B-
R83655,^NEW WIN LONG^,"2. $10,000 to $29,999","$24,349",MD,21784,Northeast,2022-09-16T15:19:57Z,active,Chinese,2019,37365,"20,201 - 50,000",250.8,101 - 500,"$138,923","$100,001 - $150,000",A+
R86572,^ASIA CAFE^,"3. $30,000 to $49,999","$33,619",IL,61032,Midwest,2023-11-24T16:58:17Z,active,Chinese,2019,29702,"20,201 - 50,000",77.5,1 - 100,"$49,346","$1 - $60,000",C+
R85733,^HONG KONG EXPRESS^,"2. $10,000 to $29,999","$16,915",AL,36606,Southeast,2023-06-25T18:02:58Z,active,unknown,NA,18787,"5,001 - 20,000",1106.4,"501 - 5,000","$50,748","$1 - $60,000",C
R81929,PANDA BISTRO,"2. $10,000 to $29,999","$23,436",PA,19006,Northeast,2021-08-29T14:41:20Z,active,chinese,2019,21899,"20,201 - 50,000",658.6,"501 - 5,000","$119,343","$100,001 - $150,000",A
R88563,CHINA KING,"3. $30,000 to $49,999","$40,272",IN,46226,Midwest,2017-07-26T13:59:49Z,canceled,unknown,2019,45652,"20,201 - 50,000",1221.5,"501 - 5,000","$43,371","$1 - $60,000",B-
R83212,*CHINA VILLAGE*,"2. $10,000 to $29,999","$17,382",TN,37207,Southeast,2022-07-04T17:34:12Z,active,chinese,2019,39544,"20,201 - 50,000",803.2,"501 - 5,000","$59,973","$1 - $60,000",C
R83909,CHINA WOK,"3. $30,000 to $49,999","$41,617",FL,33165,Southeast,2022-11-23T04:35:02Z,active,chinese,2019,55822,"50,001+",2825.2,"501 - 5,000","$77,482","$60,000 - $100,000",B+
R83195,*WONDERFUL FINE ASIAN RESTAURANT*,"1. < $10,000",$0,NC,27455,Southeast,2022-06-27T22:18:39Z,canceled,chinese,NA,28791,"20,201 - 50,000",374.5,101 - 500,"$90,778","$60,000 - $100,000",A-
R81838,*HUNAM PALACE*,"2. $10,000 to $29,999","$12,414",KS,66441,Midwest,2021-08-12T19:48:41Z,canceled,chinese,NA,25372,"20,201 - 50,000",41,1 - 100,"$59,270","$1 - $60,000",B+
R85287,PEKING INN,"1. < $10,000","$7,443",MI,49315,Midwest,2023-03-13T08:28:53Z,active,chinese,2019,23283,"20,201 - 50,000",167.9,101 - 500,"$102,912","$100,001 - $150,000",A
R86956,*^MAI PEARL^*,"1. < $10,000",$0,MA,2035,Northeast,2024-02-08T19:34:02Z,active,Chinese,2019,17727,"5,001 - 20,000",344.7,101 - 500,NA,NA,A
R86937,*GOLDEN CHINESE GOURMET*,"1. < $10,000",$0,NJ,7042,Northeast,2024-02-06T17:33:07Z,active,chinese,2019,26293,"20,201 - 50,000",2715.4,"501 - 5,000",NA,NA,A
R81967,*GREAT WALL*,"2. $10,000 to $29,999","$18,283",MI,48801,Midwest,2021-08-31T16:51:45Z,active,chinese,2019,12691,"5,001 - 20,000",68.6,1 - 100,"$53,601","$1 - $60,000",B-
R83001,*NORTH CHINA*,"2. $10,000 to $29,999","$14,919",PA,17046,Northeast,2022-04-06T21:15:44Z,suspended,chinese,2019,31040,"20,201 - 50,000",313.4,101 - 500,"$54,589","$1 - $60,000",B
R83565,*GREAT WALL*,,$0,VA,23927,Southeast,2022-08-23T19:07:45Z,onboarding,unknown,2019,4074,"1 - 5,000",20.8,1 - 100,"$58,793","$1 - $60,000",NA
R83053,*JACKIE'S CHINESE RESTAURANT*,"2. $10,000 to $29,999","$28,842",FL,34145,Southeast,2022-04-26T20:11:53Z,active,chinese,2019,17834,"5,001 - 20,000",422.4,101 - 500,"$105,315","$100,001 - $150,000",B+
R86622,NEW CHINA,"2. $10,000 to $29,999","$18,247",AL,35128,Southeast,2023-12-05T22:16:08Z,active,chinese,2019,10573,"5,001 - 20,000",63.8,1 - 100,"$79,226","$60,000 - $100,000",B
