UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R85073,*GOLDEN CHINA*,"2. $10,000 to $29,999","$11,080",OK,74033,Southwest,2023-01-10T04:43:30Z,active,chinese,2019,12477,"5,001 - 20,000",405.1,101 - 500,"$76,168","$60,000 - $100,000",B+
R83097,*WING HING*,"1. < $10,000","$7,709",NY,10462,Northeast,2022-06-07T21:12:17Z,active,chinese,2019,75714,"50,001+",19830.2,"5,001 - 20,000","$63,431","$60,000 - $100,000",B+
R88957,DRAGON CITY,"2. $10,000 to $29,999","$18,660",OH,45406,Midwest,2019-06-01T00:09:09Z,active,unknown,2019,19390,"5,001 - 20,000",1496.3,"501 - 5,000","$37,630","$1 - $60,000",D+
R88975,LITTLE SHANGHAI,"1. < $10,000","$6,542",OH,45140,Midwest,2019-07-14T22:53:54Z,canceled,unknown,NA,56357,"50,001+",469.6,101 - 500,"$104,422","$100,001 - $150,000",A-
R85367,*^SAKANA^*,"2. $10,000 to $29,999","$17,921",OH,43068,Midwest,2023-04-09T12:45:30Z,suspended,Chinese,2019,54804,"50,001+",1093.6,"501 - 5,000","$67,943","$60,000 - $100,000",B-
R81098,PANDA HOUSE,"2. $10,000 to $29,999","$16,659",NC,27603,Southeast,2019-11-22T20:20:54Z,active,unknown,2019,54457,"50,001+",407.4,101 - 500,"$84,569","$60,000 - $100,000",A
R86755,RICE HOUSE,"2. $10,000 to $29,999","$19,159",PA,19426,Northeast,2023-12-25T23:28:44Z,active,chinese,2023,40720,"20,201 - 50,000",463.4,101 - 500,"$145,347","$100,001 - $150,000",A+
R82988,PANDA HOUSE,"2. $10,000 to $29,999","$24,560",NJ,7087,Northeast,2022-04-12T15:32:56Z,active,chinese,2019,68256,"50,001+",20359.6,"20,001+",NA,NA,C+
R86362,PEKING,"3. $30,000 to $49,999","$35,671",PA,17345,Northeast,2023-10-28T13:36:04Z,active,chinese,2019,7551,"5,001 - 20,000",288.5,101 - 500,"$79,365","$60,000 - $100,000",A
R83222,POCONO NO.1,"3. $30,000 to $49,999","$35,419",PA,18372,Northeast,2022-07-06T19:28:27Z,active,chinese,2019,2918,"1 - 5,000",127.2,101 - 500,"$120,980","$100,001 - $150,000",B-
R86909,*COOK ON WOK*,"1. < $10,000",$0,NV,89129,West,2024-02-07T18:24:22Z,active,chinese,2019,57116,"50,001+",2203.9,"501 - 5,000","$87,620","$60,000 - $100,000",B-
R85269,*GREAT WALL*,"1. < $10,000",$0,SD,57701,Midwest,2023-03-09T12:59:03Z,canceled,chinese,2019,45721,"20,201 - 50,000",249.2,101 - 500,"$52,255","$1 - $60,000",B-
R86209,HUNAN EMPRESS,"3. $30,000 to $49,999","$32,919",MO,63017,Midwest,2023-09-24T20:24:59Z,active,chinese,2021,41262,"20,201 - 50,000",813.9,"501 - 5,000","$130,604","$100,001 - $150,000",A+
R82812,*CHINA JADE*,"2. $10,000 to $29,999","$16,975",FL,34285,Southeast,2022-02-06T20:41:56Z,canceled,chinese,NA,18653,"5,001 - 20,000",872.4,"501 - 5,000","$61,531","$60,000 - $100,000",A
R83357,DRAGON GARDEN,"1. < $10,000","$6,495",VA,23601,Southeast,2022-08-04T15:12:44Z,active,chinese,NA,25005,"20,201 - 50,000",1295.1,"501 - 5,000","$65,299","$60,000 - $100,000",C+
R82108,CHINA WOK,"2. $10,000 to $29,999","$16,846",FL,33611,Southeast,2021-10-14T17:46:03Z,canceled,chinese,2019,33070,"20,201 - 50,000",2001.6,"501 - 5,000","$75,718","$60,000 - $100,000",A
R83785,XING WANG,"3. $30,000 to $49,999","$39,867",NY,10453,Northeast,2022-10-22T15:50:00Z,active,chinese,2019,81716,"50,001+",34442.7,"20,001+","$34,800","$1 - $60,000",B+
