snowball_id,Salesforce lead Link,Date
75609,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WjjRMAS/view,12/29/2023 23:08
28628,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WkkLMAS/view,12/29/2023 23:18
48752,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WfJHMA0/view,12/29/2023 23:28
46623,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003wnZhMAI/view,12/30/2023 2:03
46630,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003ZeaNMAS/view,12/30/2023 2:03
30095,https://wondersco.lightning.force.com/lightning/r/Contact/003Uo000002QIEgIAO/view,12/30/2023 18:08
50980,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033AyqMAE/view,12/31/2023 0:12
12801,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003aKxmMAE/view,12/31/2023 0:28
80224,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003aUvVMAU/view,12/31/2023 2:33
09995,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003dOiIMAU/view,12/31/2023 20:40
