Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81783,"56,472","807,900",6.99%,,R81633,0,0,"11,643",,R86158,"3,174",,R87673,3,,,,,,
R81786,"70,455","820,198",8.59%,,R81635,200,0,"25,704",,R86168,760,,R87678,24,,,,,,
R81787,"44,753","640,250",6.99%,,R81636,0,0,"51,642",,R86175,"1,646",,R87679,1,,,,,,
R81791,"22,590","323,174",6.99%,,R81637,0,0,0,,R86178,34,,R87681,326,,,,,,
R81793,"11,019","157,638",6.99%,,R81638,10,0,"27,785",,R86179,399,,R87685,2,,,,,,
R81795,"27,111","315,612",8.59%,,R81639,10,0,"12,521",,R86181,455,,R87689,9,,,,,,
R81796,"41,279","590,542",6.99%,,R81651,0,0,"29,667",,R86189,"2,580",,R87692,8,,,,,,
R81798,"11,650","145,631",8.00%,,R81652,10,0,"15,191",,R86205,835,,R87695,1,,,,,,
R81801,"11,394","162,998",6.99%,,R81653,0,0,0,,R86212,802,,R87705,13,,,,,,
R81802,"2,508","35,882",6.99%,,R81655,10,0,"42,724",,R86228,"1,124",,R87706,129,,,,,,
R81803,"32,768","390,555",8.39%,,R81656,0,0,"25,318",,R86268,781,,R87713,24,,,,,,
R81805,"24,963","328,890",7.59%,,R81657,0,0,0,,R86276,759,,R87715,60,,,,,,
R81806,"2,435","34,840",6.99%,,R81658,200,0,"6,535",,R86279,"1,301",,R87723,34,,,,,,
R81807,"12,666","181,198",6.99%,,R81659,10,0,"24,883",,R86289,"1,305",,R87726,11,,,,,,
R81808,"23,016","329,277",6.99%,,R81661,0,0,0,,R86291,"4,000",,R87728,115,,,,,,
R81809,"13,897","167,631",8.29%,,R81662,0,0,"19,272",,R86298,"1,077",,R87733,34,,,,,,
R81811,"11,384","175,145",6.50%,,R81663,200,0,"10,972",,R86301,359,,R87737,2,,,,,,
R81812,"17,233","246,540",6.99%,,R81665,0,0,"30,226",,R86316,"7,217",,R87739,46,,,,,,
R81813,"8,735","124,962",6.99%,,R81666,0,0,"5,675",,R86332,12,,R87756,10,,,,,,
R81815,"7,755","89,657",8.65%,,R81667,0,0,0,,R86352,77,,R87759,47,,,,,,
R81816,"14,826","212,105",6.99%,,R81668,10,0,"54,754",,R86353,622,,R87763,22,,,,,,
R81817,"9,399","134,459",6.99%,,R81669,0,0,0,,R86376,849,,R87765,7,,,,,,
R81819,"7,929","113,439",6.99%,,R81671,0,0,0,,R86377,837,,R87766,9,,,,,,
R81821,"21,523","307,909",6.99%,,R81672,0,0,"30,672",,R86501,14,,R87767,33,,,,,,
R81822,"10,172","127,312",7.99%,,R81673,0,0,"14,745",,R86502,"2,647",,R87771,3,,,,,,
R81823,"22,863","327,088",6.99%,,R81675,0,0,0,,R86508,388,,R87773,1,,,,,,
R81825,"24,313","320,323",7.59%,,R81676,200,0,"12,766",,R86527,973,,R87778,12,,,,,,
R81826,"14,843","212,341",6.99%,,R81677,0,0,"30,043",,R86539,158,,R87779,128,,,,,,
R81827,"43,462","621,771",6.99%,,R81678,148,0,"20,216",,R86553,"1,029",,R87782,102,,,,,,
R81828,"20,248","289,667",6.99%,,R81679,0,0,"6,252",,R86558,197,,R87783,9,,,,,,
