Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81095,"51,932","634,087",8.19%,,R81061,0,0,0,,R81225,"3,611",,R81716,178,,R87369,Jul'24 New,,R85899,Jul'24 Y
R81096,"30,660","356,927",8.59%,,R81062,0,0,0,,R81226,81,,R81726,566,,R87393,Jul'24 New,,R85963,Jul'24 Y
R81098,"10,362","148,234",6.99%,,R81063,0,0,"24,119",,R81228,"1,166",,R81805,"1,140",,R87382,Jul'24 New,,R85998,Jul'24 Y
R81099,0,0,6.99%,,R81065,0,0,"43,296",,R81232,"1,363",,R81811,341,,R87523,Jul'24 New,,R86003,Jul'24 Y
R81101,"10,572","139,290",7.59%,,R81066,0,0,0,,R81238,596,,R81812,40,,R87318,Jul'24 New,,R86176,Jul'24 Y
R81103,"1,543,863","192,983",800.00%,,R81067,0,0,0,,R81251,353,,R81835,468,,R87368,Jul'24 New,,R85873,Jul'24 Y
R81107,"24,069","344,337",6.99%,,R81068,0,0,"34,553",,R81255,508,,R81861,172,,R87378,Jul'24 New,,R86208,Jul'24 Y
R81109,"22,178","277,570",7.99%,,R81069,0,0,0,,R81269,"3,322",,R81863,275,,R87383,Jul'24 New,,R86322,Jul'24 Y
R81112,"24,287","347,447",6.99%,,R81071,0,0,0,,R81278,"1,811",,R81912,78,,R87389,Jul'24 New,,R86295,Jul'24 Y
R81116,"20,796","297,509",6.99%,,R81072,0,0,"15,022",,R81285,"5,928",,R81918,73,,R87397,Jul'24 New,,R86397,Jul'24 Y
R81117,"3,061","43,797",6.99%,,R81073,0,0,"7,492",,R81286,190,,R81963,"1,950",,R87505,Jul'24 New,,R86587,Jul'24 Y
R81118,0,0,6.99%,,R81075,0,0,"8,053",,R81287,"2,839",,R81965,461,,R87511,Jul'24 New,,R86799,Jul'24 Y
R81119,"6,256","89,499",6.99%,,R81076,10,0,"30,862",,R81288,"1,179",,R81969,22,,R87513,Jul'24 New,,R86967,Jul'24 Y
R81121,"31,409","413,827",7.59%,,R81077,0,0,0,,R81297,703,,R81972,445,,R87525,Jul'24 New,,R86986,Jul'24 Y
R81122,0,0,8.00%,,R81078,0,0,0,,R81308,332,,R82011,122,,R87537,Jul'24 New,,R87119,Jul'24 Y
R81125,0,0,6.99%,,R81081,0,0,"17,322",,R81309,"1,506",,R82022,487,,R87332,Jul'24 New,,R87116,Jul'24 Y
R81127,"32,687","409,101",7.99%,,R81082,0,0,0,,R81315,464,,R82031,79,,R87388,Jul'24 New,,R87115,Jul'24 Y
R81128,"10,180","145,638",6.99%,,R81083,0,0,0,,R81318,595,,R82055,26,,R87399,Jul'24 New,,R87183,Jul'24 Y
R81132,"28,507","375,589",7.59%,,R81085,0,0,0,,R81323,"12,991",,R82083,891,,R87508,Jul'24 New,,R87182,Jul'24 Y
R81133,"24,885","289,702",8.59%,,R81086,0,0,0,,R81333,851,,R82201,382,,R86663,Jul'24 New,,R87205,Jul'24 Y
R81135,0,0,8.00%,,R81087,200,0,"19,749",,R81353,"6,004",,R82335,"2,153",,R87528,Jul'24 New,,R87208,Jul'24 Y
R81136,0,0,7.59%,,R81088,0,0,"32,759",,R81357,409,,R82336,591,,R87321,Jul'24 New,,R87236,Jul'24 Y
R81139,0,0,6.99%,,R81089,0,0,0,,R81358,"2,002",,R82352,210,,R87367,Jul'24 New,,R87251,Jul'24 Y
R81151,"26,517","379,350",6.99%,,R81091,0,0,"11,398",,R81371,"3,399",,R82366,927,,R87371,Jul'24 New,,R87238,Jul'24 Y
R81152,0,0,6.99%,,R81092,0,0,0,,R81373,"3,613",,R82368,509,,R87391,Jul'24 New,,R87261,Jul'24 Y
R81155,"20,450","292,563",6.99%,,R81093,0,0,0,,R81379,658,,R82377,412,,R87503,Jul'24 New,,R87128,Jul'24 Y
R81157,"7,856","112,387",6.99%,,R81095,0,0,"51,932",,R81383,"3,829",,R82385,586,,R87507,Jul'24 New,,R87316,Jul'24 Y
R81158,"10,633","152,113",6.99%,,R81096,10,0,"30,780",,R81392,"1,540",,R82512,117,,R87522,Jul'24 New,,R87325,Jul'24 Y
R81159,"6,769","96,844",6.99%,,R81097,0,0,0,,R81393,"4,966",,R82561,"1,795",,R87535,Jul'24 New,,R87326,Jul'24 Y
R81161,"40,949","476,706",8.59%,,R81098,0,0,"10,362",,R81395,"1,785",,R82566,183,,R87551,Jul'24 New,,R86501,Jul'24 Y
R81162,"10,274","146,983",6.99%,,R81099,0,0,0,,R81396,"3,733",,R82619,271,,R87359,Jul'24 New,,R87289,Jul'24 Y
R81163,0,0,6.99%,,R81101,0,0,"10,572",,R81501,"4,431",,R82695,"1,052",,R87365,Jul'24 New,,R87288,Jul'24 Y
R81166,"6,824","97,631",6.99%,,R81102,0,0,0,,R81507,"3,299",,R82708,94,,R87373,Jul'24 New,,R81311,Jul'24 In Month
R81167,"28,322","358,960",7.89%,,R81103,0,0,"1,543,863",,R81509,13,,R82716,483,,R87377,Jul'24 New,,R81832,Jul'24 In Month
R81168,"6,111","87,420",6.99%,,R81105,0,0,0,,R81531,"2,703",,R82727,114,,R87379,Jul'24 New,,R82061,Jul'24 In Month
R81169,0,0,7.89%,,R81106,0,0,0,,R81535,"2,556",,R82758,8,,R87387,Jul'24 New,,R82567,Jul'24 In Month
R81171,"15,904","209,536",7.59%,,R81107,0,0,"24,069",,R81555,"1,526",,R82782,778,,R87518,Jul'24 New,,R82821,Jul'24 In Month
R81172,"14,021","200,593",6.99%,,R81108,0,0,0,,R81576,"1,121",,R82882,201,,R87521,Jul'24 New,,R82886,Jul'24 In Month
R81177,"16,215","202,943",7.99%,,R81109,0,0,"22,178",,R81586,"2,048",,R82885,54,,R87531,Jul'24 New,,R82891,Jul'24 In Month
R81178,"14,588","208,695",6.99%,,R81112,0,0,"24,287",,R81589,"4,065",,R82889,238,,R87385,Jul'24 New,,R82902,Jul'24 In Month
R81181,"12,877","184,216",6.99%,,R81113,0,0,0,,R81592,"1,911",,R82927,579,,R87512,Jul'24 New,,R82916,Jul'24 In Month
R81182,"23,429","335,176",6.99%,,R81115,0,0,0,,R81596,"1,251",,R82977,314,,R87539,Jul'24 New,,R82926,Jul'24 In Month
R81183,"23,207","305,763",7.59%,,R81116,0,0,"20,796",,R81612,"1,339",,R82997,503,,R87529,Jul'24 New,,R82985,Jul'24 In Month
R81185,0,0,7.99%,,R81117,0,0,"3,061",,R81626,"1,035",,R83006,138,,R87566,Jul'24 New,,R83236,Jul'24 In Month
R81186,"6,349","90,829",6.99%,,R81118,0,0,0,,R81636,"2,515",,R83015,35,,R87571,Jul'24 New,,R83287,Jul'24 In Month
R81188,"10,812","128,868",8.39%,,R81119,0,0,"6,256",,R81639,610,,R83027,40,,R87569,Jul'24 New,,R83567,Jul'24 In Month
R81191,"12,881","184,283",6.99%,,R81121,0,0,"31,409",,R81651,"14,591",,R83093,129,,R87576,Jul'24 New,,R83831,Jul'24 In Month
R81193,"14,632","185,454",7.89%,,R81122,0,0,0,,R81665,"3,532",,R83116,450,,R87568,Jul'24 New,,R83932,Jul'24 In Month
R81195,"12,037","154,524",7.79%,,R81123,0,0,0,,R81668,"7,211",,R83118,472,,R87573,Jul'24 New,,R83997,Jul'24 In Month
R81199,0,0,8.39%,,R81125,0,0,0,,R81683,186,,R83131,267,,R87502,Jul'24 New,,R85006,Jul'24 In Month
R81201,"8,448","105,601",8.00%,,R81126,0,0,0,,R81689,"1,687",,R83139,304,,R87538,Jul'24 New,,R85396,Jul'24 In Month
R81202,"11,656","166,756",6.99%,,R81127,0,0,"32,687",,R81707,"6,066",,R83183,369,,R87363,Jul'24 New,,R85586,Jul'24 In Month
R81203,"28,397","364,527",7.79%,,R81128,200,0,"12,580",,R81708,"1,335",,R83187,149,,R86831,Jul'24 New,,R85596,Jul'24 In Month
R81205,"35,744","458,843",7.79%,,R81129,0,0,0,,R81715,"2,207",,R83193,382,,R87878,Jul'24 New,,R85615,Jul'24 In Month
R81206,"24,557","351,320",6.99%,,R81131,0,0,0,,R81716,964,,R83212,279,,R87567,Jul'24 New,,R85761,Jul'24 In Month
R81207,"16,830","213,307",7.89%,,R81132,0,0,"28,507",,R81722,"5,455",,R83225,356,,R88239,Aug'24 Reactivate,,R85792,Jul'24 In Month
R81208,"5,976","85,499",6.99%,,R81133,0,0,"24,885",,R81728,"3,938",,R83227,365,,R88971,Aug'24 Reactivate,,R85861,Jul'24 In Month
R81211,"10,342","147,957",6.99%,,R81135,54,0,648,,R81733,"2,631",,R83256,616,,R81091,Aug'24 Reactivate,,R85865,Jul'24 In Month
R81212,"27,761","365,754",7.59%,,R81136,0,0,0,,R81739,"1,351",,R83262,722,,R81291,Aug'24 Reactivate,,R85876,Jul'24 In Month
R81213,0,0,6.99%,,R81137,0,0,0,,R81753,"3,615",,R83268,351,,R81293,Aug'24 Reactivate,,R85885,Jul'24 In Month
R81219,"23,330","291,990",7.99%,,R81138,0,0,0,,R81757,"1,162",,R83275,138,,R81375,Aug'24 Reactivate,,R85997,Jul'24 In Month
R81222,0,0,8.32%,,R81139,0,0,0,,R81768,"2,207",,R83276,109,,R81576,Aug'24 Reactivate,,R86023,Jul'24 In Month
R81223,"23,216","270,269",8.59%,,R81151,0,0,"26,517",,R81776,467,,R83282,85,,R81581,Aug'24 Reactivate,,R86117,Jul'24 In Month
R81225,"20,663","258,616",7.99%,,R81152,0,0,0,,R81796,"1,896",,R83312,955,,R81662,Aug'24 Reactivate,,R86132,Jul'24 In Month
R81226,"12,182","174,282",6.99%,,R81153,0,0,0,,R81803,"2,244",,R83319,154,,R81922,Aug'24 Reactivate,,R86259,Jul'24 In Month
R81227,"15,774","199,924",7.89%,,R81155,0,0,"20,450",,R81805,"3,171",,R83333,176,,R81997,Aug'24 Reactivate,,R86262,Jul'24 In Month
R81228,"11,745","146,995",7.99%,,R81156,0,0,0,,R81811,520,,R83353,104,,R82051,Aug'24 Reactivate,,R86735,Jul'24 In Month
R81229,"31,152","445,669",6.99%,,R81157,10,0,"7,976",,R81819,73,,R83357,237,,R82367,Aug'24 Reactivate,,R86752,Jul'24 In Month
R81232,"13,113","163,918",8.00%,,R81158,0,0,"10,633",,R81823,"11,403",,R83368,487,,R82756,Aug'24 Reactivate,,R86972,Jul'24 In Month
R81233,"32,388","405,352",7.99%,,R81159,10,0,"6,889",,R81825,"2,427",,R83376,46,,R82895,Aug'24 Reactivate,,R87058,Jul'24 In Month
R81235,"44,676","588,613",7.59%,,R81161,10,0,"41,069",,R81837,"1,944",,R83377,3,,R82885,Aug'24 Reactivate,,R87139,Jul'24 In Month
R81236,"9,982","142,798",6.99%,,R81162,0,0,"10,274",,R81861,533,,R83395,935,,R83013,Aug'24 Reactivate,,R88386,Jul'24 In Month
R81237,"10,447","149,458",6.99%,,R81163,0,0,0,,R81863,593,,R83508,168,,R83127,Aug'24 Reactivate,,R88813,Jul'24 In Month
R81238,"6,816","97,515",6.99%,,R81165,0,0,0,,R81865,"1,094",,R83509,106,,R83389,Aug'24 Reactivate,,R87188,Jul'24 In Month
R81239,0,0,8.00%,,R81166,0,0,"6,824",,R81866,"1,988",,R83511,51,,R83392,Aug'24 Reactivate,,R87223,Jul'24 In Month
R81251,"11,541","165,113",6.99%,,R81167,10,0,"28,442",,R81876,"3,337",,R83523,80,,R83387,Aug'24 Reactivate,,R87295,Jul'24 In Month
R81252,0,0,6.99%,,R81168,0,0,"6,111",,R81877,"14,619",,R83532,251,,R83693,Aug'24 Reactivate,,R87312,Jul'24 In Month
R81255,"12,596","180,196",6.99%,,R81169,0,0,0,,R81888,"8,299",,R83559,34,,R85167,Aug'24 Reactivate,,R87327,Jul'24 In Month
R81256,"18,621","245,339",7.59%,,R81171,0,0,"15,904",,R81892,"1,503",,R83575,219,,R85685,Aug'24 Reactivate,,R81502,Jul'24 In Month
R81257,"8,456","120,973",6.99%,,R81172,10,0,"14,141",,R81899,"8,397",,R83582,146,,R85766,Aug'24 Reactivate,,R85787,Jul'24 In Month
R81259,"16,859","241,193",6.99%,,R81175,0,0,0,,R81909,"1,667",,R83586,446,,R85899,Aug'24 Reactivate,,R86257,Jul'24 In Month
R81261,"16,724","220,341",7.59%,,R81176,0,0,0,,R81928,"3,998",,R83655,575,,R85908,Aug'24 Reactivate,,R86619,Jul'24 In Month
R81262,0,0,8.00%,,R81177,0,0,"16,215",,R81935,909,,R83656,508,,R85987,Aug'24 Reactivate,,R83021,Jul'24 In Month
R81263,"15,887","209,315",7.59%,,R81178,0,0,"14,588",,R81936,"2,109",,R83667,182,,R85989,Aug'24 Reactivate,,R87203,Jul'24 In Month
R81265,"15,003","192,597",7.79%,,R81181,0,0,"12,877",,R81951,"2,580",,R83677,329,,R86289,Aug'24 Reactivate,,R83358,Jul'24 In Month
R81266,"29,458","421,432",6.99%,,R81182,0,0,"23,429",,R81959,"1,501",,R83689,636,,R86525,Aug'24 Reactivate,,R82929,Jul'24 In Month
R81267,"11,450","163,805",6.99%,,R81183,0,0,"23,207",,R81962,"15,991",,R83706,163,,R86818,Aug'24 Reactivate,,R83163,Jul'24 In Month
R81269,"42,027","525,990",7.99%,,R81185,0,0,0,,R81963,"4,768",,R83791,712,,R86996,Aug'24 Reactivate,,R87209,Jul'24 In Month
R81271,"8,870","110,871",8.00%,,R81186,0,0,"6,349",,R81965,"1,780",,R83873,266,,R87128,Aug'24 Reactivate,,R87301,Jul'24 In Month
R81272,"14,716","210,526",6.99%,,R81187,0,0,0,,R81971,949,,R83882,314,,R87572,Aug'24 New,,R87273,Jul'24 In Month
R81273,"5,774","82,609",6.99%,,R81188,0,0,"10,812",,R81972,"2,004",,R83906,119,,R87517,Aug'24 New,,R87189,Jul'24 In Month
R81275,"6,885","98,502",6.99%,,R81189,0,0,0,,R81978,"3,276",,R83927,47,,R87536,Aug'24 New,,R86225,Jul'24 In Month
R81277,"16,939","242,337",6.99%,,R81191,0,0,"12,881",,R82009,"1,431",,R83967,827,,R87509,Aug'24 New,,R85017,Jul'24 In Month
R81278,"16,627","208,094",7.99%,,R81192,0,0,0,,R82011,193,,R83995,66,,R87565,Aug'24 New,,R85102,Jul'24 In Month
R81279,0,0,6.99%,,R81193,200,0,"17,032",,R82015,"1,583",,R85019,272,,R87392,Aug'24 New,,R85923,Jul'24 In Month
R81282,0,0,8.19%,,R81195,10,0,"12,157",,R82029,433,,R85021,117,,R87533,Aug'24 New,,R87235,Jul'24 Downgrade
R81283,"26,013","372,146",6.99%,,R81197,0,0,0,,R82031,146,,R85057,340,,R87879,Aug'24 New,,R87099,Jul'24 Lower Usage
R81285,"54,676","636,505",8.59%,,R81198,0,0,0,,R82053,"2,386",,R85066,176,,R87575,Aug'24 New,,R86667,Jul'24 In Month
R81286,"18,611","266,246",6.99%,,R81199,0,0,0,,R82056,"2,414",,R85078,320,,R87579,Aug'24 New,,R81575,Jul'24 Reactivate
R81287,"28,630","367,519",7.79%,,R81201,0,0,"8,448",,R82076,"1,724",,R85122,124,,R87561,Aug'24 New,,R86332,Jul'24 Usage Lower
R81288,"2,389","31,478",7.59%,,R81202,0,0,"11,656",,R82081,"3,030",,R85168,389,,R87578,Aug'24 New,,R88817,Jul'24 Usage Lower
R81291,"18,346","262,463",6.99%,,R81203,0,0,"28,397",,R82083,"2,148",,R85169,602,,R87597,Aug'24 New,,R87291,Jul'24 Usage Lower
R81292,"24,798","288,683",8.59%,,R81205,0,0,"35,744",,R82088,"6,568",,R85172,833,,R87581,Aug'24 New,,R83707,Jul'24 Usage Lower
R81293,"14,669","209,862",6.99%,,R81206,0,0,"24,557",,R82105,"8,198",,R85182,92,,R87605,Aug'24 New,,R83885,Jul'24 Usage Lower
R81295,"7,034","92,677",7.59%,,R81207,0,0,"16,830",,R82109,"5,071",,R85199,"1,016",,R87555,Aug'24 New,,R83808,Jul'24 Usage Lower
R81296,"24,924","356,564",6.99%,,R81208,0,0,"5,976",,R82201,679,,R85207,411,,R87588,Aug'24 New,,R87176,Jul'24 Usage Lower
R81297,"10,570","139,258",7.59%,,R81209,0,0,0,,R82209,"4,157",,R85212,368,,R87601,Aug'24 New,,R82678,Jul'24 Usage Lower
R81298,0,0,6.99%,,R81211,0,0,"10,342",,R82306,"7,048",,R85216,81,,R87583,Aug'24 New,,R86739,Jul'24 Usage Lower
R81302,"43,324","619,793",6.99%,,R81212,10,0,"27,881",,R82329,"3,339",,R85217,4,,R87587,Aug'24 New,,R83508,Jul'24 Usage Lower
R81303,"23,337","307,467",7.59%,,R81213,0,0,0,,R82335,"2,867",,R85263,210,,R87586,Aug'24 New,,R87362,Jul'24 Usage Higher
R81305,"9,783","139,961",6.99%,,R81216,0,0,0,,R82336,"1,797",,R85286,10,,R87598,Aug'24 New,,R87362,Jul'24 Usage Higher
R81306,"10,878","135,976",8.00%,,R81217,0,0,0,,R82363,"1,217",,R85289,216,,R87562,Aug'24 New,,R88313,Jul'24 Usage Higher
R81307,"51,977","684,812",7.59%,,R81219,0,0,"23,330",,R82365,842,,R85292,217,,R87599,Aug'24 New,,R88108,Jul'24 Usage Higher
R81308,"17,599","251,770",6.99%,,R81221,0,0,0,,R82366,"10,070",,R85311,648,,R87595,Aug'24 New,,R82356,Jul'24 Usage Higher
R81309,"18,454","243,138",7.59%,,R81222,0,0,0,,R82368,"1,184",,R85317,777,,R87591,Aug'24 New,,R87357,Jul'24 Usage Higher
R81311,"8,730","106,588",8.19%,,R81223,0,0,"23,216",,R82377,565,,R85356,205,,R87603,Aug'24 New,,R85291,Jul'24 Usage Higher
R81312,0,0,6.99%,,R81225,0,0,"20,663",,R82379,"2,824",,R85365,61,,R87611,Aug'24 New,,R85299,Jul'24 Usage Higher
R81315,"3,602","47,455",7.59%,,R81226,0,0,"12,182",,R82385,"1,432",,R85371,661,,R87615,Aug'24 New,,R83097,Jul'24 Usage Higher
R81316,"6,257","89,508",6.99%,,R81227,0,0,"15,774",,R82393,"4,282",,R85391,539,,R87526,Aug'24 New,,R87307,Jul'24 Usage Higher
R81317,"6,410","91,703",6.99%,,R81228,0,0,"11,745",,R82395,"2,364",,R85557,761,,R87609,Aug'24 New,,R85312,Jul'24 Usage Higher
R81318,"8,341","119,329",6.99%,,R81229,0,0,"31,152",,R82506,"1,051",,R85558,97,,R87602,Aug'24 New,,R85519,Jul'24 Usage Higher
R81321,"24,622","324,406",7.59%,,R81231,0,0,0,,R82511,"2,490",,R85576,491,,R87589,Aug'24 New,,R83663,Jul'24 Usage Higher
R81323,"27,104","357,106",7.59%,,R81232,0,0,"13,113",,R82512,890,,R85601,642,,R87607,Aug'24 New,,R88856,Jul'24 Usage Higher
R81325,"13,313","166,626",7.99%,,R81233,0,0,"32,388",,R82518,"1,542",,R85605,97,,R87612,Aug'24 New,,R83781,Jul'24 Usage Higher
R81326,"12,527","179,213",6.99%,,R81235,0,0,"44,676",,R82533,"2,776",,R85639,4,,R87619,Aug'24 New,,R83296,Jul'24 Usage Higher
R81327,"9,118","130,446",6.99%,,R81236,0,0,"9,982",,R82539,"1,703",,R85658,283,,R87625,Aug'24 New,,,
R81328,0,0,8.46%,,R81237,0,0,"10,447",,R82561,"2,001",,R85666,531,,R87608,Aug'24 New,,,
R81329,0,0,6.99%,,R81238,0,0,"6,816",,R82566,768,,R85668,138,,R87559,Aug'24 New,,,
R81331,"17,683","252,974",6.99%,,R81239,0,0,0,,R82573,"4,402",,R85678,546,,R87617,Aug'24 New,,,
R81333,"23,588","337,459",6.99%,,R81251,0,0,"11,541",,R82586,"2,156",,R85708,"1,111",,R87618,Aug'24 New,,,
R81335,0,0,8.39%,,R81252,100,0,"1,200",,R82591,"9,425",,R85716,635,,R87622,Aug'24 New,,,
