,,Total ARR,,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,,Comments,,,,
UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,Q/Q,Q/Q %,Status,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,,Q1'24,Q2'24,R81001,R81001
R82051,PT,"10,930","11,187","11,140","10,144","8,346","11,740","13,217","10,873","10,278","10,767","10,767",0,"10,767",0,0,0%,Aug'24 Reactivate,,"10,930","11,187","11,140","10,144","8,346","11,740","13,217","10,873","10,278","10,767",0,0,"9,594","8,920",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82051,R82051
R82053,PT,"50,307","42,644","27,969","48,054","53,404","44,717","44,682","46,531","47,917","32,826","15,463","11,728","25,149","26,316","9,686",63%,,,"50,307","42,644","27,969","43,286","47,251","40,037","40,521","42,012","42,898","29,463","13,368","10,133","22,763","23,930",,0,0,0,"4,768","6,153","4,680","4,161","4,519","5,019","3,363","2,095","1,596","2,386","2,386",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82053,R82053
R82055,FT,"3,953","5,209","5,919","4,381","1,838","5,123","5,760","4,163","3,187","3,777","4,587","3,678","4,602","4,273",15,0%,,,"3,953","5,209","5,919","4,381","1,838","5,003","5,760","4,163","3,176","3,764","4,556","3,672","4,588","4,247",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,13,31,6,14,26,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R82055,R82055
R82056,FT,"14,569","27,572","33,510","28,639","25,241","26,426","28,796","29,269","29,465","30,692","30,484","31,732","28,813","30,276","-1,671",-5%,,,"13,125","25,500","30,466","25,967","22,754","24,495","26,166","26,482","26,334","28,299","28,021","29,333","26,399","27,862",,"1,444","2,072","3,044","2,672","2,487","1,931","2,630","2,787","3,131","2,393","2,463","2,400","2,414","2,414",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82056,R82056
R82059,PT,"38,209","13,323","11,343","12,955","64,424","12,700","11,780","12,972","13,799","12,690","13,862","9,269","14,349","13,270",487,4%,,,"38,209","13,323","11,343","12,955","64,424","12,700","11,780","12,972","13,799","12,690","13,862","9,269","14,349","13,270",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82059,R82059
R82061,FT,"23,566","18,793","17,960","18,532","22,196","20,368","21,777","21,752","23,303","22,684","23,950","2,400","26,261","28,533","2,311",10%,,,"23,566","18,793","17,960","18,532","22,196","20,368","21,777","21,752","23,303","22,684","23,950","2,400","26,261","28,533",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82061,R82061
R82063,PT,"39,806","42,068","42,316","40,738","36,971","47,767","42,918","40,212","37,370","36,042","35,237","35,275","35,422","36,240",185,1%,,,"39,806","42,068","42,316","40,738","36,971","47,767","42,918","40,212","37,370","36,042","35,237","35,275","35,422","36,240",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82063,R82063
R82065,FT,"22,406","20,632","19,917","20,820","18,682",0,0,653,0,0,0,0,0,0,0,,,,"22,406","20,632","19,917","20,820","18,682",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,653,0,0,0,0,0,0,,,,,R82065,R82065
R82066,FT,"24,993","23,082","27,013","24,140","20,745","22,226","21,693","21,620","19,361","20,179","21,374","17,331","16,655","18,058","-4,719",-22%,,,"24,993","23,082","27,013","24,140","20,745","22,226","21,693","21,620","19,361","20,179","21,374","17,331","16,655","18,058",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82066,R82066
R82068,FT,"11,475","8,694","8,335","8,191","8,575","5,885","8,885","6,769","7,994","7,068","7,145","6,720","5,984",0,"-1,161",-16%,,,"11,475","8,694","8,335","8,191","8,575","5,885","8,885","6,769","7,994","7,068","7,145","6,720","5,984",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82068,R82068
R82069,PT,"32,175","18,742","18,223","15,442","15,336","11,611",0,0,0,0,0,0,0,0,0,,,,"32,175","18,742","18,223","15,442","15,336","11,611",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82069,R82069
R82072,FT,"21,881","20,365","19,705","20,735","21,647","21,903","21,748","23,037","20,752","21,346","21,784","21,033","22,494","22,100",710,3%,,,"21,881","20,365","19,705","20,735","21,647","21,903","21,748","23,037","20,752","21,346","21,784","21,033","22,494","22,100",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82072,R82072
R82073,PT,"15,358","14,543","13,846","14,051","13,172","13,621","14,548","13,331","11,643","13,493","13,398","14,058","12,925","14,246",-473,-4%,,,"15,358","14,543","13,846","14,051","13,172","13,621","14,548","13,331","11,643","13,493","13,398","14,058","12,925","14,246",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82073,R82073
R82076,PT,"25,546","24,750","29,071","31,323","30,347","30,978","32,224","30,780","29,847","26,873","26,009","26,728","27,297","25,929","1,288",5%,,,"25,546","24,750","26,568","28,769","27,521","28,190","29,746","28,378","27,431","24,677","24,106","24,888","25,573","24,205",,0,0,"2,503","2,554","2,826","2,788","2,478","2,402","2,416","2,196","1,903","1,841","1,724","1,724",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"cl have a tech issue with the phone line and services provider in March and April, daily GMV also seem to be smaller than before ",R82076,R82076
R82078,FT,"26,188","23,475","26,408","25,525","23,772","22,933","22,901","23,402","20,246","19,042","21,747","22,870","21,975","21,604",228,1%,,,"26,188","23,475","26,408","25,525","23,772","22,813","22,901","23,402","20,246","19,042","21,747","22,870","21,975","21,604",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R82078,R82078
R82079,PT,"8,924","6,303","17,839","16,507","16,137","16,622","15,797","16,550","16,694","8,028","11,908","12,539","11,501","11,763",-407,-3%,,,"8,924","6,303","17,839","16,507","16,137","16,622","15,797","16,550","16,694","8,028","11,908","12,539","11,501","11,763",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82079,R82079
R82081,FT,"28,977","31,045","32,633","39,997","31,856","35,440","34,727","34,897","31,393","33,107","29,450","28,259","28,418","30,348","-1,032",-4%,,,"28,977","31,045","32,633","35,973","27,865","31,905","31,489","31,281","27,615","29,463","26,197","25,670","25,388","27,318",,0,0,0,"4,024","3,991","3,535","3,238","3,616","3,778","3,644","3,253","2,589","3,030","3,030",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82081,R82081
R82082,FT,"18,655","16,351","17,403","17,240","16,490","17,097","18,617","18,020","19,158","18,347","15,850","17,461","15,501","16,440",-349,-2%,,,"18,655","16,351","17,403","17,240","16,490","17,097","18,617","18,020","19,158","18,347","15,850","17,461","15,501","16,440",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82082,R82082
R82083,FT,"27,922","25,299","25,175","24,105","26,890",0,0,0,0,"22,563","22,142","21,136","21,155","22,081",-987,-4%,,,"27,922","25,299","25,175","24,105","26,890",0,0,0,0,"18,962","18,360","18,243","17,962","19,042",,0,0,0,0,0,0,0,0,0,"2,442","2,012","1,753","2,148","2,148",,0,0,0,0,0,0,0,0,0,"1,159","1,770","1,139","1,045",891,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82083,R82083
R82086,PT,"36,339","48,454","55,424","46,765","35,287","43,792","48,167","47,329","44,199","43,256","36,688","49,303","51,312","46,232","14,624",40%,,,"36,339","48,454","55,424","46,765","35,287","43,672","48,167","47,329","44,199","43,256","36,688","49,303","51,312","46,232",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R82086,R82086
R82088,FT,"23,599","27,385","30,806","33,028","29,885","37,174","40,598","42,515","38,162","37,638","40,477","29,293","34,240","33,138","-6,237",-15%,,,"23,599","27,385","25,866","27,590","24,453","31,023","33,568","35,531","31,600","30,728","33,132","29,293","27,672","26,570",,0,0,"4,940","5,438","5,432","6,151","7,030","6,984","6,562","6,910","7,345",0,"6,568","6,568",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82088,R82088
R82089,FT,"33,179","31,743","29,084","34,225","36,509","33,147","28,543","29,812","39,404","30,358","31,114","28,886","29,054","33,525","-2,060",-7%,,,"33,179","31,743","29,084","34,225","36,509","33,027","28,543","29,812","39,404","30,358","31,114","28,886","29,054","33,525",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,"suspended since May, back on 7/15/2024 - Decision to revert ARRAY to prior levels",R82089,R82089
R82091,FT,"61,287","69,933","58,883","55,137","54,726","72,390",0,0,0,0,0,0,0,0,0,,,,"52,549","60,265","51,348","49,780","45,014","61,976",0,0,0,0,0,0,0,0,,"8,738","9,668","7,535","5,357","9,712","10,414",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82091,R82091
R82092,FT,"54,140","37,810","36,632","35,900","41,781","31,462","29,931","28,697","55,372","27,144","27,144","30,513","23,821","24,010","-3,323",-12%,Jul'24 Reactivate,,"54,140","37,810","36,632","35,900","41,781","31,462","29,931","28,697","55,372","27,144",653,"30,513","23,821","24,010",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82092,R82092
R82093,PT,"24,877","25,947","25,969","28,439","24,198","24,473","26,473","27,302","23,885","21,275","18,626","20,556","19,296","16,911",670,4%,,,"24,877","25,947","25,969","28,439","24,198","24,473","26,473","27,302","23,885","21,275","18,626","20,556","19,296","16,911",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82093,R82093
R82095,PT,"16,159","12,051","16,957","18,988","12,016","16,787","18,031","18,878","13,404","17,674","15,054","8,198","18,256","18,048","3,202",21%,,,"16,159","12,051","16,957","18,988","12,016","16,787","18,031","18,878","13,404","17,674","15,054","8,198","18,256","18,048",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82095,R82095
R82096,FT,"24,903","20,309","24,733","24,560","25,099","25,815","27,391","27,180","25,356","25,857","25,686","27,019","27,207","27,811","1,521",6%,,,"24,903","20,309","24,733","24,560","25,099","25,815","27,391","27,180","25,356","25,857","25,686","27,019","27,207","27,811",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82096,R82096
R82097,FT,"10,332","6,660","7,802","9,493","10,005","7,703","9,273","8,509","9,190","7,252","6,749","7,458","6,331","5,784",-418,-6%,,,"10,332","6,660","7,802","9,493","10,005","7,703","9,273","8,509","9,141","7,252","6,749","7,458","6,331","5,784",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,49,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82097,R82097
R82098,FT,"39,770","35,639","35,102","35,464","38,984","35,941","37,790","39,571","41,418","37,554","39,529","39,384","36,455","39,837","-3,074",-8%,,,"39,770","35,639","35,102","35,464","38,984","35,941","37,790","39,571","41,418","37,554","39,529","39,384","36,455","39,837",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82098,R82098
R82099,FT,"14,229","24,949","22,141","21,384",0,"24,110","22,143","24,530","21,779","21,628","21,756","25,384","22,914","23,801","1,158",5%,,,"14,229","24,949","22,141","21,384",0,"24,110","22,143","24,530","21,779","21,628","21,756","25,384","22,914","23,801",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82099,R82099
R82101,PT,"43,393","33,796","13,897","31,968","23,364","14,531","20,851","17,504","8,203","12,692","8,531","21,728","28,258","28,339","19,727",231%,,,"43,302","33,705","13,806","31,872","23,273","14,531","20,760","17,413","8,112","12,601","8,440","21,632","28,162","28,243",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82101,R82101
R82105,FT,"23,058","27,621","32,209","31,007","25,633","33,811","31,319","36,800","31,511","32,263","31,132","23,336","30,608","32,439",-524,-2%,,,"17,202","21,407","25,537","23,843","18,415","25,856","23,870","27,442","23,236","23,959","22,911","23,336","22,410","24,241",,"5,856","6,214","6,672","7,164","7,218","7,955","7,449","9,358","8,275","8,304","8,221",0,"8,198","8,198",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82105,R82105
R82109,FT,"52,048","56,338","49,645","52,988","38,776","57,899","55,883","49,816","43,607","46,952","45,149","43,482","42,552","41,869","-2,597",-6%,,,"52,048","56,338","49,645","52,988","38,776","57,899","49,746","44,098","38,091","41,241","40,329","38,911","37,481","36,798",,0,0,0,0,0,0,"6,137","5,718","5,516","5,711","4,820","4,571","5,071","5,071",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82109,R82109
R82201,FT,"18,979","16,604","15,503","15,668","17,210","14,257","16,952","15,307","15,669","17,392","18,369","19,247","17,216","18,565","-1,153",-6%,,,"18,979","16,604","15,503","15,668","17,210","14,257","16,952","15,307","14,615","16,344","16,679","17,857","16,134","17,504",,0,0,0,0,0,0,0,0,703,832,"1,226",991,679,679,,0,0,0,0,0,0,0,0,351,216,464,399,403,382,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82201,R82201
R82203,FT,"10,815","11,119","11,339","11,232","11,408","11,491","10,954","11,001","10,213","11,971","12,620","11,476","10,186","11,492","-2,434",-19%,,,"10,815","11,119","11,339","11,232","11,408","11,491","10,954","11,001","10,213","11,971","12,620","11,476","10,186","11,492",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82203,R82203
R82205,PT,"9,868","10,707","12,355","9,911","11,693","10,532","9,494","5,188","4,499","4,694","4,815","6,643","4,719","4,115",-96,-2%,,,"9,868","10,707","12,355","9,911","11,693","10,532","9,494","5,188","4,499","4,694","4,815","6,643","4,719","4,115",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"suspended on March and waived all service fee, cannot contact cl ",R82205,R82205
R82206,FT,"13,042","10,774","9,308","8,289","9,228","7,516","8,963","8,215",0,0,0,0,0,0,0,,,,"13,042","10,774","9,308","8,289","9,228","7,516","8,963","8,215",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82206,R82206
R82207,PT,"34,566","31,290","13,755","14,245","12,996","14,260","14,218","14,606","13,254","2,400",0,0,0,0,0,,,,"34,566","31,290","13,755","14,245","12,996","14,260","14,218","14,606","13,254","2,400",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82207,R82207
R82209,FT,"17,325","30,484","50,769","61,213","47,979","56,100","61,032","62,928","51,806","52,407","51,671","54,967","52,699","51,661","1,028",2%,,,"17,234","30,393","50,678","56,589","43,648","51,139","56,131","58,052","47,433","47,828","48,110","50,656","48,446","47,408",,0,0,0,"4,528","4,240","4,961","4,810","4,785","4,282","4,488","3,470","4,214","4,157","4,157",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82209,R82209
R82301,FT,0,0,0,"14,495","17,374","14,202","14,159","13,754","13,513","14,735","12,605","13,987","12,878","13,394",273,2%,,,0,0,0,"14,495","17,374","14,202","14,159","13,754","13,513","14,735","12,605","13,987","12,878","13,394",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82301,R82301
R82302,PT,"14,933","12,329","3,732","7,318","15,871","12,750","15,177","15,224","17,359","14,327","15,696","5,149","15,507","13,364",-189,-1%,,,"14,842","12,238","3,641","7,222","15,780","12,750","15,086","15,133","17,268","14,236","15,605","5,053","15,411","13,268",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82302,R82302
R82303,FT,"36,177","35,533","35,119","35,314","30,667","29,843","28,969","26,319","28,346","29,495","26,396","27,597","25,455","26,809",-941,-4%,,,"36,086","35,442","35,028","35,218","30,576","29,843","28,878","26,228","28,255","29,404","26,305","27,501","25,359","26,713",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82303,R82303
R82305,FT,"15,706","14,065","12,868","12,197","14,291","14,016","14,707","13,279",33,"12,366","16,334","13,971","11,495","12,747","-4,839",-30%,,,"15,706","14,065","12,868","12,197","14,291","14,016","14,707","13,279",33,"12,366","16,334","13,971","11,495","12,747",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82305,R82305
R82306,FT,"43,579","42,707","45,368","51,552","46,610","52,611","49,633","52,641","50,059","49,822","51,994","52,124","53,252","52,310","1,258",2%,,,"43,579","42,707","45,368","43,596","39,508","45,847","42,663","45,191","42,389","42,354","44,571","44,615","46,204","45,262",,0,0,0,"7,956","7,102","6,764","6,970","7,450","7,670","7,468","7,423","7,508","7,048","7,048",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82306,R82306
R82308,PT,"27,650","13,845","18,961",744,"17,229",0,0,0,0,0,0,0,0,0,0,,,,"27,559","13,754","18,870",0,"17,138",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,744,91,0,0,0,0,0,0,0,0,0,,,,,R82308,R82308
R82309,FT,"21,889","15,824","16,193","14,481","14,663","12,453","13,180","13,608","15,266","11,361","12,853","12,929","12,536","13,061",-317,-2%,,,"21,889","15,824","16,193","14,481","14,663","12,453","13,180","13,608","14,870","11,361","12,853","12,929","12,536","13,061",,0,0,0,0,0,0,0,0,247,0,0,0,0,0,,0,0,0,0,0,0,0,0,149,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82309,R82309
R82311,FT,"13,476","5,299","6,679","5,461","8,643","5,941","5,571","6,529","6,318","6,265","12,913","7,490","8,004","6,027","-4,909",-38%,,,"13,385","5,208","6,679","5,461","8,643","5,821","5,571","6,529","6,318","6,265","12,913","7,490","8,004","6,027",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R82311,R82311
R82313,PT,"22,014","23,521","20,850","22,906","26,673","28,707","26,287","26,783","26,539","29,737","22,424","27,066","24,795","26,961","2,371",11%,,,"21,923","23,430","20,759","22,810","26,582","28,707","26,196","26,692","26,448","29,646","22,333","26,970","24,699","26,865",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82313,R82313
R82315,FT,"26,192","27,685","27,960","25,589","21,674","22,773","23,698","26,247","25,699","20,782","20,698","22,978","21,265","18,262",567,3%,,,"26,192","27,685","27,960","25,589","21,674","22,773","23,698","26,247","25,699","20,782","20,698","22,978","21,265","18,262",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,canceled account since Feb. returned devices,R82315,R82315
R82318,FT,"13,635","12,058","10,723","10,862","8,648","8,623","9,868","8,779","9,403","8,118","10,876","7,752","7,932","7,300","-2,944",-27%,,,"13,452","11,875","10,540","10,682","8,465","8,623","9,685","8,596","9,220","7,935","10,693","7,572","7,752","7,120",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,183,183,183,180,183,0,183,183,183,183,183,180,180,180,,,,,R82318,R82318
R82321,FT,"24,605","16,678","17,648","16,450","25,500","18,813","17,471","17,026","19,954",0,0,744,744,744,744,,,,"24,514","16,587","17,557","16,354","25,409","18,813","17,380","16,935","19,863",0,653,648,648,648,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82321,R82321
R82322,FT,"15,896","11,192","10,621",840,"13,509","8,961","11,761","9,568","14,956","8,310","14,755","9,950","9,395","7,642","-5,360",-36%,,,"15,713","11,009","9,959",0,"13,326","8,961","11,578","9,385","14,773","8,127","14,572","9,770","9,215","7,462",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,183,183,662,840,183,0,183,183,183,183,183,180,180,180,,,,,R82322,R82322
R82325,FT,"7,308","8,107","8,586","8,106","7,904","11,942",0,653,0,0,0,0,0,0,0,,,,"7,308","8,107","8,586","8,106","7,904","11,942",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,653,0,0,0,0,0,0,,,,,R82325,R82325
R82327,FT,"5,570","5,086","4,865","4,093","4,759","3,457","3,353","2,655",0,0,0,0,0,0,0,,,,"5,387","4,903","4,682","3,913","4,576","3,457","3,170","2,472",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,183,183,183,180,183,0,183,183,0,0,0,0,0,0,,,,,R82327,R82327
R82329,FT,"36,169","37,926","41,490","38,034","32,189","41,487","43,808","45,262","46,354","43,627","45,245","49,135","42,938","45,478","-2,307",-5%,,,"36,169","37,926","41,490","38,034","32,189","41,487","39,181","40,802","42,045","39,819","41,589","45,228","39,599","42,139",,0,0,0,0,0,0,"4,627","4,460","4,309","3,808","3,656","3,907","3,339","3,339",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82329,R82329
R82331,FT,"5,074","4,361","4,640","4,911","5,689","4,584","5,122","5,065","4,365","4,584","4,810","4,841","4,845","5,006",35,1%,,,"4,983","4,270","4,549","4,815","5,598","4,584","5,031","4,974","4,274","4,493","4,719","4,745","4,749","4,910",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,96,,,,,R82331,R82331
R82332,PT,"12,034","11,307","10,592","10,645","25,376","11,818","10,912","1,383",836,0,0,0,0,0,0,,,,"11,851","11,124","10,409","10,465","25,193","11,818","10,729","1,200",653,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,183,183,183,180,183,0,183,183,183,0,0,0,0,0,,,,,R82332,R82332
R82335,FT,"42,308","45,348","48,505","46,291","35,116","29,687","22,907","26,358","53,190","53,501","55,488","56,452","54,817","55,494",-671,-1%,,,"42,125","45,348","48,505","46,291","35,116","29,687","22,907","26,358","53,190","53,501","51,621","53,567","49,610","50,474",,0,0,0,0,0,0,0,0,0,0,0,0,"2,867","2,867",,0,0,0,0,0,0,0,0,0,0,"3,867","2,885","2,340","2,153",,183,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R82335,R82335
