,,Total ARR,,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,,Comments,,,,
UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,Q/Q,Q/Q %,Status,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,,Q1'24,Q2'24,R81001,R81001
R81019,FT,"49,446","52,880","50,611","49,910","41,385","52,503","51,459","54,979","49,735","54,055","53,774","52,171","51,617","53,830","-2,157",-4%,-1%,,"43,842","46,793","45,806","45,122","36,325","47,668","46,602","50,108","44,487","47,879","48,662","47,493","46,265","48,478",,"5,604","6,087","4,805","4,788","5,060","4,835","4,857","4,871","5,248","6,176","5,112","4,678","5,352","5,352",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81023,R81023
R81021,FT,0,"25,447","18,754","17,838","18,240","15,045","14,168","15,142","15,489","13,290","13,814","14,523","12,158","11,809","-1,656",-12%,-16%,,0,"25,447","18,754","17,838","18,240","15,045","14,168","15,142","15,489","13,290","13,814","14,523","12,158","11,809",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81026,R81026
R81022,FT,"32,432","22,493","24,707","20,566","27,764","24,663","31,033","30,163","25,778","27,752","31,764","31,991","31,559","32,927",-205,-1%,-1%,,"32,432","22,493","24,707","20,566","27,764","24,663","31,033","30,163","25,778","27,752","31,764","31,991","31,559","32,927",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81028,R81028
R81023,FT,"9,351","7,452","6,812","6,044","8,238","6,557","6,118","7,215","7,060","5,068","4,612","4,297","4,520","5,013",-92,-2%,5%,,"9,351","7,452","6,812","6,044","8,238","6,557","6,118","7,215","7,060","5,068","4,612","4,297","4,520","5,013",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81029,R81029
R81026,FT,"47,842","43,518","44,210","43,319","35,502","34,772","38,361","39,439","35,254","36,813","39,268","41,830","37,902","37,767","-1,366",-3%,-9%,,"47,842","41,210","41,248","39,861","32,465","32,011","35,407","36,459","32,269","33,555","36,455","38,886","34,962","34,827",,0,"2,308","2,962","3,458","3,037","2,761","2,954","2,980","2,985","3,258","2,813","2,944","2,940","2,940",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81031,R81031
R81028,FT,"54,508","62,431","61,224","62,589","56,308","66,258","60,198","64,815","54,089","64,113","64,443","64,038","63,991","60,515",-452,-1%,0%,,"49,815","56,913","56,127","56,117","50,491","60,160","54,373","58,406","48,367","56,003","58,450","57,524","57,620","54,144",,"4,693","5,518","5,097","6,472","5,817","5,978","5,825","6,409","5,722","8,110","5,993","6,514","6,371","6,371",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R81033,R81033
R81029,FT,"35,851","30,843","29,739","32,751","35,499","32,755","33,514","35,491","38,089","33,284","32,784","35,814","35,454","36,233","2,670",8%,-1%,,"35,851","30,843","29,739","32,751","35,499","32,755","33,514","35,491","38,089","33,284","32,784","35,814","35,454","36,233",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81035,R81035
R81031,FT,"22,685","33,895","38,137","25,611","22,149","28,790","36,333","28,555","23,826","30,835","33,308","36,651","30,893","27,948","-2,415",-7%,-16%,,"20,172","30,283","33,883","22,746","19,413","25,955","32,886","25,467","21,222","26,990","29,730","32,410","27,199","24,254",,"2,513","3,612","4,254","2,865","2,736","2,835","3,447","3,088","2,604","3,845","3,578","4,241","3,694","3,694",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81037,R81037
R81033,FT,"26,305","38,655","39,554","44,906","42,782","57,308","66,774","61,990","52,728","62,376","57,634","60,790","58,460","61,720",826,1%,-4%,,"24,108","36,695","36,992","41,441","38,381","52,217","59,868","55,069","47,110","55,162","51,122","54,177","51,493","54,753",,"2,197","1,960","2,562","3,465","4,401","5,091","6,906","6,921","5,618","7,214","6,512","6,613","6,967","6,967",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81051,R81051
R81035,FT,"19,257","19,440","20,616","20,845","16,799","20,345","20,573","18,237","17,656","18,372","18,563","20,396","20,298","19,589","1,735",9%,0%,,"19,257","19,440","20,616","20,845","16,799","20,345","20,573","18,237","17,656","18,372","18,563","20,396","20,298","19,589",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81052,R81052
R81037,FT,"36,247","30,043","32,940","30,128","31,129","31,030","30,542","29,640","26,236","29,874","31,299","31,839","29,010","29,967","-2,289",-7%,-9%,,"36,247","30,043","32,940","30,128","31,129","31,030","30,542","29,640","26,236","29,874","31,299","31,839","29,010","29,967",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81053,R81053
