Snowball_ID,Date,Event name,Sessions
1,20230920,page_view,1
1,20230920,session_start,1
1,20230920,user_engagement,1
1,20230828,page_view,1
1,20230828,user_engagement,1
1,20230828,page_view,1
1,20230828,scroll,1
1,20230828,user_engagement,1
1234,20230814,page_view,1
1234,20230814,user_engagement,1
1234,20230814,page_view,1
1234,20230814,user_engagement,1
1234,20230814,page_view,1
1234,20230814,user_engagement,1
1710,20230818,first_visit,1
1710,20230818,page_view,2
1710,20230818,session_start,2
1710,20230818,user_engagement,1
1731,20230906,first_visit,1
1731,20230906,form_start,1
1731,20230906,page_view,2
1731,20230906,session_start,2
2197,20230831,first_visit,1
2197,20230831,page_view,1
2197,20230831,session_start,1
2243,20230901,first_visit,1
2243,20230901,page_view,1
2243,20230901,session_start,1
2341,20230915,AnyFormSubmit,1
2341,20230915,Any_Form-Submit,1
2341,20230915,first_visit,1
2341,20230915,form_start,1
2341,20230915,page_view,1
2341,20230915,session_start,1
2388,20230814,first_visit,1
2388,20230814,page_view,2
2388,20230814,session_start,1
2388,20230814,user_engagement,1
2481,20230906,AnyFormSubmit,1
2481,20230906,Any_Form-Submit,1
2481,20230906,first_visit,1
2481,20230906,form_start,1
2481,20230906,page_view,1
2481,20230906,session_start,1
2625,20230901,AnyFormSubmit,1
2625,20230901,Any_Form-Submit,1
2625,20230901,first_visit,1
2625,20230901,form_start,1
2625,20230901,page_view,1
2625,20230901,session_start,1
3033,20230904,AnyFormSubmit,1
3033,20230904,Any_Form-Submit,1
3033,20230904,first_visit,1
3033,20230904,form_start,1
3033,20230904,page_view,1
3033,20230904,session_start,1
3358,20230907,AnyFormSubmit,1
3358,20230907,Any_Form-Submit,1
3358,20230907,first_visit,1
3358,20230907,form_start,1
3358,20230907,page_view,1
3358,20230907,scroll,1
3358,20230907,session_start,1
7097,20230831,first_visit,1
7097,20230831,page_view,1
7097,20230831,scroll,1
7097,20230831,session_start,1
7097,20230831,video_complete,1
7097,20230831,video_progress,1
7097,20230831,video_start,1
7173,20230902,AnyFormSubmit,1
7173,20230902,Any_Form-Submit,1
7173,20230902,first_visit,1
7173,20230902,form_start,1
7173,20230902,page_view,1
7173,20230902,scroll,1
7173,20230902,session_start,1
7173,20230902,user_engagement,1
7525,20230906,AnyFormSubmit,1
7525,20230906,Any_Form-Submit,1
7525,20230906,first_visit,1
7525,20230906,form_start,1
7525,20230906,page_view,1
7525,20230906,session_start,1
7627,20230911,first_visit,1
7627,20230911,page_view,1
7627,20230911,session_start,1
7635,20230814,first_visit,1
7635,20230814,page_view,1
7635,20230814,session_start,1
7635,20230814,first_visit,1
7635,20230814,page_view,3
7635,20230814,session_start,1
7635,20230814,user_engagement,2
7708,20230902,AnyFormSubmit,1
7708,20230902,Any_Form-Submit,1
7708,20230902,first_visit,1
7708,20230902,form_start,1
7708,20230902,page_view,1
7708,20230902,session_start,1
7823,20230814,first_visit,1
7823,20230814,page_view,3
7823,20230814,session_start,1
8061,20230902,page_view,1
8061,20230902,scroll,1
8061,20230902,session_start,1
8061,20230902,user_engagement,1
8061,20230901,first_visit,1
8061,20230901,page_view,1
8061,20230901,session_start,1
8099,20230906,first_visit,2
8099,20230906,page_view,2
8099,20230906,scroll,2
8099,20230906,session_start,2
8169,20230814,page_view,1
8169,20230814,AnyFormSubmit,1
8169,20230814,Any_Form-Submit,1
8169,20230814,first_visit,2
8169,20230814,form_start,1
8169,20230814,page_view,4
8169,20230814,session_start,3
8169,20230814,user_engagement,1
8322,20230923,AnyFormSubmit,1
8322,20230923,Any_Form-Submit,1
8322,20230923,first_visit,1
8322,20230923,form_start,1
8322,20230923,page_view,1
8322,20230923,session_start,1
8609,20230906,AnyFormSubmit,1
8609,20230906,Any_Form-Submit,1
8609,20230906,first_visit,1
8609,20230906,form_start,1
8609,20230906,page_view,1
8609,20230906,session_start,1
8609,20230906,user_engagement,1
8610,20230901,AnyFormSubmit,1
8610,20230901,Any_Form-Submit,1
8610,20230901,first_visit,1
8610,20230901,form_start,1
8610,20230901,page_view,1
8610,20230901,session_start,1
8919,20230814,first_visit,1
8919,20230814,page_view,1
8919,20230814,session_start,1
8919,20230814,user_engagement,1
8919,20230814,first_visit,1
8919,20230814,page_view,7
8919,20230814,session_start,2
8919,20230814,user_engagement,4
9092,20230903,first_visit,1
9092,20230903,page_view,1
9092,20230903,session_start,1
9092,20230902,first_visit,1
9092,20230902,page_view,1
9092,20230902,session_start,1
9141,20230901,AnyFormSubmit,1
9141,20230901,Any_Form-Submit,1
9141,20230901,click,1
9141,20230901,first_visit,5
9141,20230901,form_start,1
9141,20230901,page_view,6
9141,20230901,session_start,6
9213,20230902,first_visit,1
9213,20230902,page_view,1
9213,20230902,session_start,1
9240,20230901,first_visit,1
9240,20230901,page_view,1
9240,20230901,session_start,1
9240,20230901,video_complete,1
9240,20230901,video_progress,1
9240,20230901,video_start,1
9327,20230905,first_visit,1
9327,20230905,page_view,1
9327,20230905,session_start,1
9689,20230905,first_visit,1
9689,20230905,page_view,1
9689,20230905,scroll,1
9689,20230905,session_start,1
9689,20230905,video_complete,1
9689,20230905,video_progress,1
9689,20230905,video_start,1
10284,20230909,first_visit,1
10284,20230909,page_view,1
10284,20230909,scroll,1
10284,20230909,session_start,1
10284,20230909,video_complete,1
10284,20230909,video_progress,1
10284,20230909,video_start,1
10503,20230906,first_visit,1
10503,20230906,page_view,1
10503,20230906,scroll,1
10503,20230906,session_start,1
10503,20230906,user_engagement,1
10666,20230906,AnyFormSubmit,1
10666,20230906,Any_Form-Submit,1
10666,20230906,first_visit,1
10666,20230906,form_start,1
10666,20230906,page_view,1
10666,20230906,session_start,1
10666,20230906,user_engagement,1
11111,20230814,page_view,1
11111,20230814,scroll,1
11111,20230814,page_view,1
11111,20230814,scroll,1
11111,20230814,user_engagement,1
11407,20230905,AnyFormSubmit,1
11407,20230905,Any_Form-Submit,1
11407,20230905,first_visit,1
11407,20230905,form_start,1
11407,20230905,page_view,1
11407,20230905,session_start,1
11625,20230906,AnyFormSubmit,1
11625,20230906,Any_Form-Submit,1
11625,20230906,first_visit,1
11625,20230906,form_start,1
11625,20230906,page_view,1
11625,20230906,session_start,1
11643,20230907,AnyFormSubmit,1
11643,20230907,Any_Form-Submit,1
11643,20230907,first_visit,1
11643,20230907,form_start,1
11643,20230907,page_view,1
11643,20230907,session_start,1
12345,20230814,page_view,1
12345,20230814,scroll,1
12345,20230814,user_engagement,1
12345,20230814,page_view,1
12345,20230814,user_engagement,1
12345,20230814,page_view,1
12345,20230814,scroll,1
12345,20230814,user_engagement,1
12818,20230907,AnyFormSubmit,1
12818,20230907,Any_Form-Submit,1
12818,20230907,first_visit,1
12818,20230907,form_start,1
12818,20230907,page_view,1
12818,20230907,session_start,1
12818,20230907,user_engagement,1
12862,20230911,first_visit,1
12862,20230911,form_start,1
12862,20230911,page_view,1
12862,20230911,session_start,1
12862,20230911,user_engagement,1
13053,20230907,first_visit,1
13053,20230907,page_view,1
13053,20230907,session_start,2
13053,20230907,user_engagement,1
13375,20230907,AnyFormSubmit,1
13375,20230907,Any_Form-Submit,1
13375,20230907,first_visit,1
13375,20230907,form_start,1
13375,20230907,page_view,1
13375,20230907,session_start,1
13464,20230907,AnyFormSubmit,1
13464,20230907,Any_Form-Submit,1
13464,20230907,first_visit,1
13464,20230907,form_start,1
13464,20230907,page_view,1
13464,20230907,session_start,1
13464,20230907,user_engagement,1
13477,20230907,AnyFormSubmit,1
13477,20230907,Any_Form-Submit,1
13477,20230907,first_visit,1
13477,20230907,form_start,1
13477,20230907,page_view,1
13477,20230907,session_start,1
13477,20230907,user_engagement,1
13506,20230908,first_visit,1
13506,20230908,page_view,1
13506,20230908,scroll,1
13506,20230908,session_start,1
13506,20230908,user_engagement,1
13667,20230922,first_visit,1
13667,20230922,page_view,1
13667,20230922,session_start,1
14027,20230913,AnyFormSubmit,1
14027,20230913,Any_Form-Submit,1
14027,20230913,first_visit,1
14027,20230913,form_start,1
14027,20230913,page_view,1
14027,20230913,session_start,1
14027,20230913,user_engagement,1
14110,20230814,first_visit,1
14110,20230814,page_view,1
14110,20230814,session_start,1
14224,20230907,first_visit,1
14224,20230907,page_view,1
14224,20230907,session_start,1
14287,20230909,first_visit,1
14287,20230909,page_view,1
14287,20230909,scroll,1
14287,20230909,session_start,1
14287,20230909,video_complete,1
14287,20230909,video_progress,1
14287,20230909,video_start,1
14514,20230908,first_visit,1
14514,20230908,page_view,1
14514,20230908,scroll,1
14514,20230908,session_start,1
14558,20230907,AnyFormSubmit,2
14558,20230907,Any_Form-Submit,2
14558,20230907,first_visit,2
14558,20230907,form_start,2
14558,20230907,page_view,2
14558,20230907,session_start,2
14558,20230907,user_engagement,2
14837,20230913,AnyFormSubmit,1
14837,20230913,Any_Form-Submit,1
14837,20230913,first_visit,1
14837,20230913,form_start,1
14837,20230913,page_view,1
14837,20230913,scroll,1
14837,20230913,session_start,1
14837,20230913,user_engagement,1
14990,20230907,first_visit,1
14990,20230907,page_view,1
14990,20230907,scroll,1
14990,20230907,session_start,1
15011,20230907,AnyFormSubmit,1
15011,20230907,Any_Form-Submit,1
15011,20230907,first_visit,1
15011,20230907,form_start,1
15011,20230907,page_view,1
15011,20230907,session_start,1
15011,20230907,user_engagement,1
15250,20230911,AnyFormSubmit,1
15250,20230911,Any_Form-Submit,1
15250,20230911,first_visit,1
15250,20230911,form_start,1
15250,20230911,page_view,1
15250,20230911,session_start,1
15491,20230902,AnyFormSubmit,1
15491,20230902,Any_Form-Submit,1
15491,20230902,first_visit,1
15491,20230902,form_start,1
15491,20230902,page_view,1
15491,20230902,scroll,1
15491,20230902,session_start,1
15491,20230902,user_engagement,1
15491,20230902,video_complete,1
15491,20230902,video_progress,1
15491,20230902,video_start,1
15524,20230831,AnyFormSubmit,1
15524,20230831,Any_Form-Submit,1
15524,20230831,first_visit,1
15524,20230831,form_start,1
15524,20230831,page_view,1
15524,20230831,session_start,1
15686,20230912,first_visit,1
15686,20230912,page_view,1
15686,20230912,session_start,1
15686,20230912,video_progress,1
15686,20230912,video_start,1
15728,20230814,first_visit,1
15728,20230814,page_view,1
15728,20230814,session_start,1
15834,20230831,AnyFormSubmit,1
15834,20230831,Any_Form-Submit,1
15834,20230831,first_visit,1
15834,20230831,form_start,1
15834,20230831,page_view,1
15834,20230831,session_start,1
15834,20230831,user_engagement,1
15964,20230901,AnyFormSubmit,1
15964,20230901,Any_Form-Submit,1
15964,20230901,first_visit,1
15964,20230901,form_start,1
15964,20230901,page_view,1
15964,20230901,session_start,1
15964,20230901,user_engagement,1
16113,20230913,first_visit,1
16113,20230913,page_view,1
16113,20230913,session_start,1
16113,20230913,user_engagement,1
16386,20230907,first_visit,1
16386,20230907,form_start,1
16386,20230907,page_view,1
16386,20230907,session_start,1
16861,20230904,AnyFormSubmit,1
16861,20230904,Any_Form-Submit,1
16861,20230904,first_visit,1
16861,20230904,form_start,1
16861,20230904,page_view,1
16861,20230904,session_start,1
16861,20230904,user_engagement,1
16874,20230902,first_visit,1
16874,20230902,page_view,1
16874,20230902,session_start,1
