Snowball_ID,Date,Event name,Sessions
1,20230724,page_view,1
1,20230724,scroll,1
1,20230724,user_engagement,1
33,20230617,first_visit,4
33,20230617,page_view,4
33,20230617,scroll,1
33,20230617,session_start,5
33,20230617,user_engagement,1
57,20230926,page_view,1
70,20230811,first_visit,1
70,20230811,page_view,1
70,20230811,session_start,1
153,20230619,page_view,1
153,20230619,scroll,1
153,20230619,session_start,1
153,20230616,first_visit,2
153,20230616,page_view,2
153,20230616,session_start,2
310,20230613,first_visit,1
310,20230613,page_view,1
310,20230613,scroll,1
310,20230613,session_start,1
352,20230610,first_visit,1
352,20230610,page_view,1
352,20230610,scroll,1
352,20230610,session_start,1
352,20230610,user_engagement,1
352,20230610,video_progress,1
352,20230610,video_start,1
352,20230610,page_view,1
450,20230612,first_visit,2
450,20230612,page_view,2
450,20230612,session_start,2
450,20230611,first_visit,1
450,20230611,page_view,1
450,20230611,session_start,1
543,20230615,first_visit,1
543,20230615,page_view,1
543,20230615,session_start,1
543,20230614,first_visit,1
543,20230614,page_view,1
543,20230614,session_start,1
566,20230612,first_visit,2
566,20230612,page_view,2
566,20230612,scroll,2
566,20230612,session_start,2
632,20230611,page_view,2
632,20230611,session_start,2
632,20230610,first_visit,2
632,20230610,page_view,2
632,20230610,session_start,2
717,20230614,first_visit,2
717,20230614,page_view,2
717,20230614,scroll,2
717,20230614,session_start,2
717,20230614,page_view,2
724,20230608,first_visit,1
724,20230608,page_view,1
724,20230608,scroll,1
724,20230608,session_start,1
764,20230615,first_visit,1
764,20230615,page_view,1
764,20230615,scroll,1
764,20230615,session_start,1
764,20230615,video_complete,1
764,20230615,video_progress,1
764,20230615,video_start,1
770,20230615,first_visit,1
770,20230615,page_view,1
770,20230615,scroll,1
770,20230615,session_start,1
770,20230615,user_engagement,1
788,20230618,first_visit,2
788,20230618,page_view,2
788,20230618,session_start,2
806,20230616,first_visit,1
806,20230616,page_view,1
806,20230616,scroll,1
806,20230616,session_start,1
806,20230616,user_engagement,1
925,20230613,first_visit,1
925,20230613,page_view,1
925,20230613,scroll,1
925,20230613,session_start,1
925,20230613,user_engagement,1
925,20230623,first_visit,2
925,20230623,page_view,2
925,20230623,scroll,2
925,20230623,session_start,2
925,20230613,page_view,1
1113,20230612,first_visit,2
1113,20230612,page_view,2
1113,20230612,session_start,2
1113,20230612,user_engagement,2
