fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
0,CA,Unknown,NA,7,USA,Apple,Japanese
0,CA,Unknown,NA,7,USA,Apple,Japanese
0,MS,Unknown,NA,7,USA,Apple,Cajun_Seafood
0,NY,Unknown,NA,7,USA,Apple,Japanese
0,NY,Unknown,NA,7,USA,Apple,Chinese
0,CA,PRINCIPAL,NA,7,USA,Apple,Chinese
0,VA,Unknown,NA,7,USA,Apple,Japanese
0,UT,PRESIDENT,NA,7,USA,Apple,Japanese
0,WA,Unknown,NA,7,USA,Apple,Japanese
0,CA,Unknown,NA,7,USA,Apple,Chinese
0,CA,PRINCIPAL,NA,7,USA,Apple,Chinese
0,MA,PRINCIPAL,NA,8,USA,Apple,Japanese
1,UT,Unknown,NA,8,USA,Apple,Japanese
0,AZ,Unknown,NA,8,USA,Apple,Japanese
0,CA,Unknown,NA,8,USA,Apple,Chinese
0,KS,ADMINISTRATION,NA,8,USA,Apple,Japanese
0,KS,ADMINISTRATION,NA,8,USA,Apple,Japanese
0,CA,Unknown,NA,8,USA,Apple,Chinese
0,CA,Unknown,NA,8,USA,Apple,Chinese
0,CA,Unknown,NA,8,USA,Apple,Japanese
0,MA,PRINCIPAL,NA,8,USA,Apple,Japanese
0,MA,PRINCIPAL,NA,8,USA,Apple,Japanese
0,MA,PRINCIPAL,NA,8,USA,Apple,Japanese
0,TX,Unknown,NA,8,USA,Apple,Asian_Fusion
0,GA,Unknown,NA,8,USA,Apple,Chinese
0,ON,OWNER,NA,9,Canada,Apple,Chinese
0,ON,Unknown,NA,9,Canada,Apple,Japanese
1,AB,Unknown,NA,9,Canada,Apple,Chinese
1,AB,Unknown,NA,9,Canada,Apple,Chinese
1,AB,Unknown,NA,9,Canada,Apple,Chinese
0,BC,Unknown,NA,9,Canada,Apple,Japanese
0,BC,Unknown,NA,9,Canada,Apple,Japanese
0,BC,OWNER,NA,9,Canada,Apple,Japanese
0,BC,MANAGER,NA,9,Canada,Apple,Chinese
0,BC,MANAGER,NA,9,Canada,Apple,Chinese
0,BC,MANAGER,NA,9,Canada,Apple,Chinese
0,ON,OWNER,NA,9,Canada,Apple,Chinese
0,ON,OWNER,NA,9,Canada,Apple,Chinese
0,ON,OWNER,NA,9,Canada,Apple,Chinese
